id_str,created_at,period,full_text,text_bert,bert_word_count,label,label_roberta,confidence_roberta,annotator_notes,username,source_keyword,lang
1876072984299143507,2025-01-06 01:07:09+00:00,2025-01,"@HisyamMochtar Menurut saya untuk NU, Muhammadiyah, atau organisasi keagamaan yg memiliki jaringan sekolah, akan lebih baik dilibatkan langsung di MBG. Hal ini malah dapat meminimalisir kebocoran anggaran, daripada melibatkan pihak lain.","menurut saya untuk nahdlatul ulama, muhammadiyah, atau organisasi keagamaan yang memiliki jaringan sekolah, akan lebih baik dilibatkan langsung di makan bergizi gratis. hal ini malah dapat meminimalkan kebocoran anggaran, daripada melibatkan pihak lain.",33,neutral,positive,0.8852,,indragoenawan,mbg,in
1876079950631174330,2025-01-06 01:34:50+00:00,2025-01,"Program unggulan pemerintahan Prabowo Subianto-Gibran Rakabuming Raka, Makan Bergizi Gratis (MBG), resmi di luncurkan hari ini! Program yang bertujuan memenuhi kebutuhan gizi anak-anak Indonesia ini di mulai di 190 titik di 26 provinsi.
https://t.co/FaAn3Qkm41","program unggulan pemerintahan prabowo subianto gibran rakabuming raka, makan bergizi gratis, resmi di luncurkan hari ini! program yang bertujuan memenuhi kebutuhan gizi anak anak indonesia ini di mulai di 190 titik di 26 provinsi..",34,neutral,neutral,0.5752,,digitripx_media,mbg,in
1876080436663005231,2025-01-06 01:36:46+00:00,2025-01,"Bakal Segera Berjalan Dua Program Pemerintahan, Yakni Program MBG dan Penghapusan Utang Macet UMKM https://t.co/85qWxYzqBf lewat @Keuangan News","bakal segera berjalan dua program pemerintahan, yakni program makan bergizi gratis dan penghapusan utang macet usaha mikro kecil menengah lewat berita",21,neutral,neutral,0.9693,,keuangannews_id,mbg,in
1876082320169713871,2025-01-06 01:44:15+00:00,2025-01,"#live 

Sedang berlangsung Wawancara dialog dengan topik Pelaksanaan program mbg secara serentak dengan  Netty Prasetiyani Aher-anggota komisi IX DPR bersama zaini    

Selengkapnya Dengarkan di 88,8FM&amp; RRI Digital. 
  #IMP #PRO3RR https://t.co/DnjnjarXil",".. sedang berlangsung wawancara dialog dengan topik pelaksanaan program makan bergizi gratis secara serentak dengan netty netty prasetiyani aher anggota komisi sembilan dewan perwakilan rakyat bersama zaini.. selengkapnya dengarkan di 88,8fm dan radio republik indonesia digital..",36,neutral,neutral,0.9962,,RRIPrograma3,mbg,in
1876082352214155659,2025-01-06 01:44:23+00:00,2025-01,"Besok Program Makan Bergizi Gratis Wilayah Kaltara Perdana Digelar di Nunukan, Sasar 2.556 Siswa
 
#MakanBergiziGratis #MBG #BadanGiziNasional #BGN #NunukanSelatan #Nunukan #KalimantanUtara #Kaltara 

https://t.co/wfLgPJBcME via @tribunnews","besok program makan bergizi gratis wilayah kalimantan utara perdana digelar di nunukan, sasar 2556 siswa.. makan bergizi gratis badan gizi nasional.. via tribun berita",24,neutral,neutral,0.9882,,KaltaraTribun,mbg,in
1876082405381161005,2025-01-06 01:44:36+00:00,2025-01,"Selamat pak @prabowo , sdh bisa terlaksana program MBG hari ini.
Semoga sukses, dan terima kasih sudah gercep utk instansi2 terkait. Salut!
Makasih juga mas @gibran_tweet yg sdh membantu presiden mengawal uji coba2 jadi bisa program terlaksana gak pake lama 👍👍","selamat bapak prabowo, sudah bisa terlaksana program makan bergizi gratis hari ini.. semoga sukses, dan terima kasih sudah gerak cepat untuk instansi instansi terkait. salut!. terima kasih juga mas gibran yang sudah membantu presiden mengawal uji coba coba jadi bisa program terlaksana tidak pakai lama bagus bagus",47,positive,positive,0.9958,,SaritaTambayong,mbg,in
1876092620478537974,2025-01-06 02:25:11+00:00,2025-01,"Kalau semua standar begini oke sih program MBG, tapi apakah sudah tersedia merata di seluruh Indonesia ? Dan yang penting konsisten..
https://t.co/7OFCk4sgoA","kalau semua standar begini oke sih program makan bergizi gratis, tapi apakah sudah tersedia merata di seluruh indonesia? dan yang penting konsisten..",22,neutral,positive,0.8289,,yunanpadmo,mbg,in
1876095884754305039,2025-01-06 02:38:09+00:00,2025-01,"Badan Gizi Nasional (BGN) resmi memulai Program Makan Bergizi Gratis (MBG) per hari ini, Senin (6/1/2025).

https://t.co/5OqiQ2Nz1V","badan gizi nasional resmi memulai program makan bergizi gratis per hari ini, senin...",13,neutral,neutral,0.9886,,heralddotID,mbg,in
1876098436677968336,2025-01-06 02:48:18+00:00,2025-01,Program Makan Bergizi Gratis (MBG) yang merupakan program prioritas pemerintahan Presiden Prabowo Subianto dan Wakil Presiden Gibran Rakabuming Raka siap dimulai di 190 titik yang tersebar di 26 provinsi.https://t.co/fufY1xTtRi,program makan bergizi gratis yang merupakan program prioritas pemerintahan presiden prabowo subianto dan wakil presiden gibran rakabuming raka siap dimulai di 190 titik yang tersebar di 26 provinsi.,28,neutral,neutral,0.9878,,ANTARABengkulu,mbg,in
1876099859683709064,2025-01-06 02:53:57+00:00,2025-01,"Badan Gizi Nasional (BGN) resmi memulai Program Makan Bergizi Gratis (MBG) per hari ini, Senin (6/1).

https://t.co/MgOQSlzI3b","badan gizi nasional resmi memulai program makan bergizi gratis per hari ini, senin 6 per 1...",16,neutral,neutral,0.9885,,ANTARAJatim_,mbg,in
1876101397143294241,2025-01-06 03:00:04+00:00,2025-01,"Kepala Biro Hukum dan Humas Badan Gizi Nasional (BGN), Lalu Muhammad Iwan Mahardan mengatakan bahwa program Makan Bergizi Gratis (MBG) bakal dimulai Senin 6 Januari 2025.

Menurut Lalu, ada 190 titik Satuan Pelayanan Pemenuhan Gizi (SPPG) atau dapur yang siap beroperasi.

Lalu https://t.co/H6tGZmUwLN","kepala biro hukum dan humas badan gizi nasional, lalu muhammad iwan mahardan mengatakan bahwa program makan bergizi gratis bakal dimulai senin tanggal... menurut lalu, ada 190 titik satuan pelayanan pemenuhan gizi satuan pelayanan pemenuhan gizi atau dapur yang siap beroperasi... lalu",41,neutral,neutral,0.9969,,VIVAcoid,mbg,in
1876102808883372118,2025-01-06 03:05:40+00:00,2025-01,"Badan Gizi Nasional (BGN) resmi memulai Program Makan Bergizi Gratis (MBG) per hari ini, Senin (6/1).

Kepala Biro Hukum dan Hubungan Masyarakat (Humas) BGN RI Lalu Muhammad Iwan Mahardan saat dikonfirmasi di Jakarta, Senin, menyampaikan bahwa prioritas pertama pemberian Makan","badan gizi nasional resmi memulai program makan bergizi gratis per hari ini, senin 6 per 1... kepala biro hukum dan hubungan masyarakat humas badan gizi nasional republik indonesia lalu muhammad iwan mahardan saat dikonfirmasi di jakarta, senin, menyampaikan bahwa prioritas pertama pemberian makan",43,neutral,neutral,0.9942,,Gerindra,mbg,in
1876110472522706988,2025-01-06 03:36:07+00:00,2025-01,"Satuan Pemenuhan Pelayanan Gizi (SPPG) Halim Perdanakusuma yang resmi meluncurkan Program Makan Bergizi Gratis (MBG). Yup, mulai sekarang siswa sekolah bisa menikmati menu-menu lezat dan bergizi.

https://t.co/gPWmtN0oHD","satuan pemenuhan pelayanan gizi satuan pelayanan pemenuhan gizi halim perdanakusuma yang resmi meluncurkan program makan bergizi gratis. ya, mulai sekarang siswa sekolah bisa menikmati menu menu lezat dan bergizi...",29,neutral,positive,0.5624,,nawabinekanews,mbg,in
1876110989499761143,2025-01-06 03:38:11+00:00,2025-01,"Program MBG Belum Dijalankan Lanud Adisutjipto Hari Ini, Ini Alasannya https://t.co/cz0xQtScIR https://t.co/Y3sEAD16m2","program makan bergizi gratis belum dijalankan pangkalan udara adisutjipto hari ini, ini alasannya",13,neutral,negative,0.6578,,Harian_Jogja,mbg,in
1876113987924070444,2025-01-06 03:50:05+00:00,2025-01,@barengwarga ada usulan MBG menggunakan APBD sebagai dana dukungan. 🗿,ada usulan makan bergizi gratis menggunakan anggaran pendapatan dan belanja daerah sebagai dana dukungan. terdiam,15,negative,neutral,0.9826,,shiki_cum,mbg,in
1876117515568566452,2025-01-06 04:04:06+00:00,2025-01,Program Makan Bergizi Gratis (MBG) pemerintahan Prabowo-Gibran resmi dimulai hari ini. Gimana review makan bergizi gratis hari ini? Komen dibawah yaa https://t.co/jPy8XqnF9r,program makan bergizi gratis pemerintahan prabowo gibran resmi dimulai hari ini. bagaimana ulasan makan bergizi gratis hari ini? komentar dibawah ya,21,neutral,neutral,0.9916,,kedaikopisurvei,mbg,in
