combo_id,batch,ngram,filter_size,dropout,activation,combo_label,accuracy,precision,recall,f1_macro,f1_weighted,accuracy_std,precision_std,recall_std,f1_macro_std,f1_weighted_std
7,A,"[1, 2, 3]",256,0.3,relu,"ng=[1, 2, 3]_f=256_dr=0.3_relu",0.8541,0.8512,0.8552,0.8515,0.8546,0.0121,0.0125,0.0127,0.0125,0.0123
107,B,"[2, 3, 4]",256,0.3,relu,"ng=[2, 3, 4]_f=256_dr=0.3_relu",0.8509,0.8479,0.8494,0.8469,0.8506,0.0119,0.0117,0.0137,0.0126,0.0125
101,B,"[2, 3, 4]",128,0.3,relu,"ng=[2, 3, 4]_f=128_dr=0.3_relu",0.8496,0.846,0.849,0.8466,0.8502,0.0109,0.0116,0.0123,0.0116,0.0114
110,B,"[2, 3, 4]",256,0.5,relu,"ng=[2, 3, 4]_f=256_dr=0.5_relu",0.8489,0.8452,0.8478,0.8457,0.8493,0.012,0.0113,0.0113,0.0114,0.0117
10,A,"[1, 2, 3]",256,0.5,relu,"ng=[1, 2, 3]_f=256_dr=0.5_relu",0.8481,0.8447,0.8468,0.8447,0.8483,0.0121,0.0113,0.011,0.0113,0.0117
11,A,"[1, 2, 3]",256,0.5,gelu,"ng=[1, 2, 3]_f=256_dr=0.5_gelu",0.847,0.8457,0.8479,0.8444,0.8478,0.0104,0.0111,0.012,0.0115,0.011
6,A,"[1, 2, 3]",128,0.5,elu,"ng=[1, 2, 3]_f=128_dr=0.5_elu",0.8483,0.8449,0.8456,0.8439,0.848,0.0132,0.0141,0.012,0.0125,0.0127
111,B,"[2, 3, 4]",256,0.5,gelu,"ng=[2, 3, 4]_f=256_dr=0.5_gelu",0.8462,0.845,0.8462,0.8436,0.8471,0.0162,0.0146,0.0174,0.0165,0.0167
4,A,"[1, 2, 3]",128,0.5,relu,"ng=[1, 2, 3]_f=128_dr=0.5_relu",0.8468,0.843,0.8453,0.8435,0.8471,0.0145,0.0145,0.0158,0.0148,0.0148
106,B,"[2, 3, 4]",128,0.5,elu,"ng=[2, 3, 4]_f=128_dr=0.5_elu",0.8466,0.8449,0.8457,0.8431,0.8469,0.0183,0.016,0.0166,0.0175,0.0176
1,A,"[1, 2, 3]",128,0.3,relu,"ng=[1, 2, 3]_f=128_dr=0.3_relu",0.847,0.8452,0.8455,0.843,0.8471,0.0159,0.0128,0.0148,0.0157,0.0157
2,A,"[1, 2, 3]",128,0.3,gelu,"ng=[1, 2, 3]_f=128_dr=0.3_gelu",0.8449,0.8442,0.8464,0.8427,0.8461,0.0126,0.0126,0.0138,0.013,0.0128
112,B,"[2, 3, 4]",256,0.5,elu,"ng=[2, 3, 4]_f=256_dr=0.5_elu",0.8457,0.8433,0.8448,0.8427,0.8461,0.0117,0.0116,0.0143,0.0123,0.0124
9,A,"[1, 2, 3]",256,0.3,elu,"ng=[1, 2, 3]_f=256_dr=0.3_elu",0.8455,0.8442,0.8472,0.8427,0.8462,0.0112,0.0102,0.0099,0.0109,0.011
105,B,"[2, 3, 4]",128,0.5,gelu,"ng=[2, 3, 4]_f=128_dr=0.5_gelu",0.8451,0.8431,0.8461,0.8423,0.8455,0.0156,0.0143,0.0157,0.0157,0.0158
102,B,"[2, 3, 4]",128,0.3,gelu,"ng=[2, 3, 4]_f=128_dr=0.3_gelu",0.8464,0.8444,0.8436,0.8416,0.8457,0.0128,0.0136,0.0136,0.0131,0.0131
3,A,"[1, 2, 3]",128,0.3,elu,"ng=[1, 2, 3]_f=128_dr=0.3_elu",0.8441,0.8421,0.8433,0.8413,0.8448,0.0096,0.0095,0.0109,0.0097,0.0099
5,A,"[1, 2, 3]",128,0.5,gelu,"ng=[1, 2, 3]_f=128_dr=0.5_gelu",0.8441,0.8422,0.8446,0.8413,0.8448,0.0148,0.0141,0.014,0.015,0.0149
8,A,"[1, 2, 3]",256,0.3,gelu,"ng=[1, 2, 3]_f=256_dr=0.3_gelu",0.8436,0.8423,0.8447,0.8412,0.8447,0.013,0.0135,0.0137,0.0129,0.0131
104,B,"[2, 3, 4]",128,0.5,relu,"ng=[2, 3, 4]_f=128_dr=0.5_relu",0.8436,0.8416,0.8451,0.841,0.8447,0.0136,0.0121,0.0126,0.0131,0.0132
108,B,"[2, 3, 4]",256,0.3,gelu,"ng=[2, 3, 4]_f=256_dr=0.3_gelu",0.8455,0.8424,0.8431,0.8407,0.845,0.0156,0.0142,0.0153,0.0161,0.0159
103,B,"[2, 3, 4]",128,0.3,elu,"ng=[2, 3, 4]_f=128_dr=0.3_elu",0.8417,0.8403,0.8393,0.8383,0.8419,0.0114,0.0102,0.0095,0.0102,0.0105
12,A,"[1, 2, 3]",256,0.5,elu,"ng=[1, 2, 3]_f=256_dr=0.5_elu",0.8408,0.8383,0.8416,0.8378,0.8413,0.0158,0.0154,0.0142,0.0155,0.0159
109,B,"[2, 3, 4]",256,0.3,elu,"ng=[2, 3, 4]_f=256_dr=0.3_elu",0.8406,0.8395,0.839,0.8368,0.8404,0.0113,0.0131,0.0126,0.0119,0.0117
