combo_id,lr_bert,lr_cnn,batch_size,weight_decay,f1_macro,f1_macro_std,f1_weighted,accuracy,precision,recall
2,1e-05,0.0001,32,0.01,0.8438,0.0159,0.8472,0.8464,0.8434,0.8466
1,1e-05,0.0001,16,0.01,0.842,0.0194,0.8455,0.8457,0.8432,0.8445
5,2e-05,0.0001,16,0.01,0.8394,0.0148,0.8431,0.8426,0.8415,0.8432
10,3e-05,0.0001,32,0.01,0.8389,0.0134,0.8424,0.8428,0.8402,0.8412
4,1e-05,0.001,32,0.01,0.8367,0.0127,0.8406,0.841,0.838,0.8385
6,2e-05,0.0001,32,0.01,0.8364,0.0122,0.8395,0.8393,0.8381,0.8391
9,3e-05,0.0001,16,0.01,0.8353,0.0122,0.839,0.8389,0.8384,0.8386
8,2e-05,0.001,32,0.01,0.8338,0.0134,0.8373,0.8359,0.8363,0.8378
7,2e-05,0.001,16,0.01,0.8312,0.0222,0.8356,0.8372,0.8378,0.8341
3,1e-05,0.001,16,0.01,0.8298,0.02,0.8341,0.8346,0.8337,0.8316
