combo_id,combo_label,condition,fold,epoch,train_loss,val_loss,val_accuracy,val_precision,val_recall,val_f1_macro,val_f1_weighted,is_best_epoch
1,"ng=[1, 2, 3]_f=128_dr=0.3_relu",S1,1,1,0.7579,0.4256,0.8278,0.8224,0.8239,0.823,0.8278,False
1,"ng=[1, 2, 3]_f=128_dr=0.3_relu",S1,1,2,0.4052,0.3728,0.8523,0.8516,0.8562,0.8508,0.8536,True
1,"ng=[1, 2, 3]_f=128_dr=0.3_relu",S1,1,3,0.2853,0.4055,0.8579,0.8542,0.8586,0.8553,0.8585,False
1,"ng=[1, 2, 3]_f=128_dr=0.3_relu",S1,1,4,0.19,0.4563,0.8636,0.8598,0.8619,0.8598,0.8628,False
1,"ng=[1, 2, 3]_f=128_dr=0.3_relu",S1,1,5,0.1261,0.5767,0.8589,0.8554,0.8598,0.8566,0.8596,False
1,"ng=[1, 2, 3]_f=128_dr=0.3_relu",S1,2,1,0.7236,0.4106,0.842,0.8409,0.8457,0.8396,0.8425,False
1,"ng=[1, 2, 3]_f=128_dr=0.3_relu",S1,2,2,0.4093,0.3787,0.857,0.8529,0.8545,0.8535,0.8566,True
1,"ng=[1, 2, 3]_f=128_dr=0.3_relu",S1,2,3,0.2742,0.3836,0.8655,0.8614,0.8654,0.8626,0.8659,False
1,"ng=[1, 2, 3]_f=128_dr=0.3_relu",S1,2,4,0.1879,0.4778,0.8579,0.8558,0.853,0.854,0.8573,False
1,"ng=[1, 2, 3]_f=128_dr=0.3_relu",S1,2,5,0.109,0.5353,0.8636,0.8595,0.8607,0.8596,0.8632,False
1,"ng=[1, 2, 3]_f=128_dr=0.3_relu",S1,3,1,0.757,0.4023,0.8448,0.8398,0.8424,0.8407,0.8454,False
1,"ng=[1, 2, 3]_f=128_dr=0.3_relu",S1,3,2,0.4147,0.4033,0.8485,0.8523,0.8392,0.8432,0.8468,False
1,"ng=[1, 2, 3]_f=128_dr=0.3_relu",S1,3,3,0.2861,0.3838,0.8579,0.8541,0.8578,0.8553,0.8585,True
1,"ng=[1, 2, 3]_f=128_dr=0.3_relu",S1,3,4,0.1867,0.4118,0.8561,0.851,0.8533,0.8519,0.8566,False
1,"ng=[1, 2, 3]_f=128_dr=0.3_relu",S1,3,5,0.1073,0.5379,0.8532,0.8477,0.8494,0.8483,0.8534,False
1,"ng=[1, 2, 3]_f=128_dr=0.3_relu",S1,3,6,0.0601,0.6692,0.8429,0.8402,0.8412,0.8396,0.8443,False
1,"ng=[1, 2, 3]_f=128_dr=0.3_relu",S1,4,1,0.7659,0.4782,0.8032,0.8078,0.8113,0.8028,0.8041,False
1,"ng=[1, 2, 3]_f=128_dr=0.3_relu",S1,4,2,0.3958,0.4208,0.8333,0.8299,0.8315,0.8287,0.8323,True
1,"ng=[1, 2, 3]_f=128_dr=0.3_relu",S1,4,3,0.2846,0.4809,0.8296,0.8268,0.8277,0.8271,0.83,False
1,"ng=[1, 2, 3]_f=128_dr=0.3_relu",S1,4,4,0.1871,0.5413,0.8286,0.8247,0.8273,0.8257,0.829,False
1,"ng=[1, 2, 3]_f=128_dr=0.3_relu",S1,4,5,0.1145,0.6739,0.8202,0.8167,0.8163,0.8165,0.8199,False
1,"ng=[1, 2, 3]_f=128_dr=0.3_relu",S1,5,1,0.7428,0.4617,0.8239,0.8216,0.8251,0.8207,0.8243,False
1,"ng=[1, 2, 3]_f=128_dr=0.3_relu",S1,5,2,0.3975,0.4356,0.8418,0.8372,0.8385,0.8373,0.8416,True
1,"ng=[1, 2, 3]_f=128_dr=0.3_relu",S1,5,3,0.2788,0.4755,0.8324,0.8302,0.8335,0.83,0.8339,False
1,"ng=[1, 2, 3]_f=128_dr=0.3_relu",S1,5,4,0.1827,0.5975,0.8211,0.8171,0.8144,0.8155,0.8207,False
1,"ng=[1, 2, 3]_f=128_dr=0.3_relu",S1,5,5,0.116,0.7254,0.8192,0.8168,0.8141,0.8149,0.8194,False
2,"ng=[1, 2, 3]_f=128_dr=0.3_gelu",S1,1,1,0.7421,0.4225,0.8325,0.827,0.8306,0.8277,0.8323,False
2,"ng=[1, 2, 3]_f=128_dr=0.3_gelu",S1,1,2,0.4042,0.4086,0.841,0.8383,0.8402,0.8384,0.8422,False
2,"ng=[1, 2, 3]_f=128_dr=0.3_gelu",S1,1,3,0.2841,0.4081,0.8514,0.852,0.8556,0.8502,0.8531,True
2,"ng=[1, 2, 3]_f=128_dr=0.3_gelu",S1,1,4,0.189,0.4665,0.8457,0.842,0.8406,0.8412,0.8458,False
2,"ng=[1, 2, 3]_f=128_dr=0.3_gelu",S1,1,5,0.1214,0.5958,0.842,0.8394,0.8378,0.8381,0.8426,False
2,"ng=[1, 2, 3]_f=128_dr=0.3_gelu",S1,1,6,0.0772,0.7027,0.8495,0.846,0.844,0.8437,0.8478,False
2,"ng=[1, 2, 3]_f=128_dr=0.3_gelu",S1,2,1,0.7121,0.4279,0.8231,0.8179,0.8195,0.8185,0.8229,False
2,"ng=[1, 2, 3]_f=128_dr=0.3_gelu",S1,2,2,0.3998,0.3786,0.8561,0.8522,0.8561,0.8534,0.8565,True
2,"ng=[1, 2, 3]_f=128_dr=0.3_gelu",S1,2,3,0.2836,0.4358,0.8448,0.8445,0.8363,0.8384,0.8426,False
2,"ng=[1, 2, 3]_f=128_dr=0.3_gelu",S1,2,4,0.1847,0.5205,0.8325,0.8357,0.8216,0.8253,0.8299,False
2,"ng=[1, 2, 3]_f=128_dr=0.3_gelu",S1,2,5,0.1115,0.5337,0.857,0.8526,0.8549,0.8533,0.8567,False
2,"ng=[1, 2, 3]_f=128_dr=0.3_gelu",S1,3,1,0.7353,0.4094,0.8401,0.8411,0.844,0.8387,0.8421,False
2,"ng=[1, 2, 3]_f=128_dr=0.3_gelu",S1,3,2,0.3988,0.3736,0.8504,0.8527,0.8562,0.8493,0.8521,False
2,"ng=[1, 2, 3]_f=128_dr=0.3_gelu",S1,3,3,0.2799,0.3725,0.8542,0.8528,0.8523,0.8509,0.8552,True
2,"ng=[1, 2, 3]_f=128_dr=0.3_gelu",S1,3,4,0.1846,0.4348,0.857,0.8541,0.8532,0.8536,0.8571,False
2,"ng=[1, 2, 3]_f=128_dr=0.3_gelu",S1,3,5,0.112,0.5738,0.8429,0.845,0.841,0.8399,0.8442,False
2,"ng=[1, 2, 3]_f=128_dr=0.3_gelu",S1,3,6,0.0623,0.6705,0.8617,0.8585,0.8563,0.8562,0.8607,False
2,"ng=[1, 2, 3]_f=128_dr=0.3_gelu",S1,4,1,0.7356,0.4393,0.8202,0.8155,0.8194,0.8166,0.8202,False
2,"ng=[1, 2, 3]_f=128_dr=0.3_gelu",S1,4,2,0.3919,0.4135,0.8267,0.8245,0.8283,0.8248,0.828,True
2,"ng=[1, 2, 3]_f=128_dr=0.3_gelu",S1,4,3,0.2641,0.4603,0.8305,0.8265,0.8266,0.8264,0.8301,False
