combo_id,combo_label,condition,fold,epoch,train_loss,val_loss,train_f1,val_accuracy,val_precision,val_recall,val_f1_macro,val_f1_weighted,is_best_epoch
1,lb=1e-05_lc=1e-04_bs=16,S1,1,1,0.7174,0.4243,0.6841,0.8316,0.8307,0.8351,0.8301,0.8329,False
1,lb=1e-05_lc=1e-04_bs=16,S1,1,2,0.4035,0.4024,0.8547,0.8448,0.8423,0.847,0.8428,0.8458,True
1,lb=1e-05_lc=1e-04_bs=16,S1,1,3,0.2591,0.4425,0.9098,0.8514,0.851,0.8565,0.8499,0.852,False
1,lb=1e-05_lc=1e-04_bs=16,S1,1,4,0.1592,0.5768,0.9497,0.8476,0.8446,0.8497,0.8457,0.8481,False
1,lb=1e-05_lc=1e-04_bs=16,S1,1,5,0.0958,0.817,0.9736,0.8325,0.8288,0.8289,0.8288,0.8326,False
1,lb=1e-05_lc=1e-04_bs=16,S1,2,1,0.7109,0.4474,0.6885,0.8222,0.8236,0.8257,0.8209,0.8245,False
1,lb=1e-05_lc=1e-04_bs=16,S1,2,2,0.391,0.3924,0.8547,0.8485,0.8466,0.848,0.845,0.8478,True
1,lb=1e-05_lc=1e-04_bs=16,S1,2,3,0.2638,0.4933,0.9106,0.8504,0.8467,0.8476,0.8468,0.8501,False
1,lb=1e-05_lc=1e-04_bs=16,S1,2,4,0.1599,0.6317,0.9487,0.8495,0.8481,0.8511,0.8477,0.8509,False
1,lb=1e-05_lc=1e-04_bs=16,S1,2,5,0.0979,0.9158,0.9732,0.8429,0.8416,0.839,0.8399,0.843,False
1,lb=1e-05_lc=1e-04_bs=16,S1,3,1,0.723,0.4419,0.675,0.8429,0.8407,0.8373,0.8372,0.8411,True
1,lb=1e-05_lc=1e-04_bs=16,S1,3,2,0.392,0.5094,0.8478,0.8363,0.8427,0.824,0.8269,0.8319,False
1,lb=1e-05_lc=1e-04_bs=16,S1,3,3,0.27,0.5387,0.9036,0.8325,0.835,0.8256,0.8279,0.8323,False
1,lb=1e-05_lc=1e-04_bs=16,S1,3,4,0.16,0.639,0.9488,0.8523,0.8501,0.8461,0.8477,0.8515,False
1,lb=1e-05_lc=1e-04_bs=16,S1,4,1,0.7117,0.4642,0.6826,0.8296,0.8276,0.8216,0.8238,0.8287,False
1,lb=1e-05_lc=1e-04_bs=16,S1,4,2,0.3904,0.3963,0.8518,0.8418,0.8397,0.8431,0.8394,0.8435,True
1,lb=1e-05_lc=1e-04_bs=16,S1,4,3,0.2467,0.4995,0.9161,0.8493,0.8449,0.8485,0.8455,0.8501,False
1,lb=1e-05_lc=1e-04_bs=16,S1,4,4,0.1604,0.6823,0.9492,0.8465,0.8432,0.8385,0.8375,0.8444,False
1,lb=1e-05_lc=1e-04_bs=16,S1,4,5,0.1027,0.7914,0.9714,0.8409,0.8375,0.8381,0.837,0.8421,False
1,lb=1e-05_lc=1e-04_bs=16,S1,5,1,0.7163,0.4447,0.6837,0.8239,0.821,0.8202,0.8164,0.8228,False
1,lb=1e-05_lc=1e-04_bs=16,S1,5,2,0.3937,0.3926,0.8504,0.855,0.8533,0.8575,0.8532,0.8564,True
1,lb=1e-05_lc=1e-04_bs=16,S1,5,3,0.262,0.4442,0.9062,0.8578,0.8544,0.8593,0.8549,0.8582,False
1,lb=1e-05_lc=1e-04_bs=16,S1,5,4,0.1517,0.6413,0.9519,0.839,0.8367,0.8352,0.8352,0.8399,False
1,lb=1e-05_lc=1e-04_bs=16,S1,5,5,0.095,0.7621,0.9706,0.8427,0.8386,0.84,0.8391,0.8432,False
2,lb=1e-05_lc=1e-04_bs=32,S1,1,1,0.7784,0.4542,0.6508,0.8203,0.818,0.8201,0.8183,0.8213,False
2,lb=1e-05_lc=1e-04_bs=32,S1,1,2,0.4095,0.4012,0.8467,0.842,0.8377,0.8395,0.8372,0.8409,True
2,lb=1e-05_lc=1e-04_bs=32,S1,1,3,0.2839,0.4195,0.9008,0.8391,0.8355,0.8382,0.8365,0.8398,False
2,lb=1e-05_lc=1e-04_bs=32,S1,1,4,0.1934,0.4692,0.9329,0.8523,0.8489,0.851,0.8485,0.8512,False
2,lb=1e-05_lc=1e-04_bs=32,S1,1,5,0.1161,0.5916,0.9628,0.8363,0.8329,0.8317,0.8315,0.835,False
2,lb=1e-05_lc=1e-04_bs=32,S1,2,1,0.7733,0.4627,0.6598,0.8194,0.8182,0.8167,0.8168,0.8199,False
2,lb=1e-05_lc=1e-04_bs=32,S1,2,2,0.413,0.3957,0.8388,0.8495,0.8474,0.8521,0.8481,0.8504,True
2,lb=1e-05_lc=1e-04_bs=32,S1,2,3,0.2825,0.3995,0.8987,0.8617,0.8595,0.8636,0.8602,0.8626,False
2,lb=1e-05_lc=1e-04_bs=32,S1,2,4,0.1882,0.4844,0.9376,0.8438,0.841,0.8432,0.8409,0.8452,False
2,lb=1e-05_lc=1e-04_bs=32,S1,2,5,0.1159,0.5648,0.9627,0.8532,0.8495,0.8514,0.8503,0.8532,False
2,lb=1e-05_lc=1e-04_bs=32,S1,3,1,0.7935,0.4433,0.6397,0.8391,0.8355,0.8339,0.8339,0.8378,False
2,lb=1e-05_lc=1e-04_bs=32,S1,3,2,0.4173,0.4516,0.8361,0.8391,0.84,0.8348,0.8363,0.8393,False
2,lb=1e-05_lc=1e-04_bs=32,S1,3,3,0.2905,0.4008,0.8919,0.8598,0.8569,0.8599,0.8577,0.8607,True
2,lb=1e-05_lc=1e-04_bs=32,S1,3,4,0.1876,0.4883,0.9375,0.8523,0.8486,0.8487,0.8486,0.8526,False
2,lb=1e-05_lc=1e-04_bs=32,S1,3,5,0.1244,0.5782,0.9636,0.8476,0.8468,0.8453,0.8446,0.8486,False
2,lb=1e-05_lc=1e-04_bs=32,S1,3,6,0.082,0.6845,0.9728,0.8523,0.8504,0.8456,0.8475,0.8516,False
2,lb=1e-05_lc=1e-04_bs=32,S1,4,1,0.7948,0.424,0.6274,0.8324,0.8278,0.8292,0.827,0.8322,False
2,lb=1e-05_lc=1e-04_bs=32,S1,4,2,0.4176,0.3853,0.8373,0.8559,0.8515,0.8501,0.8499,0.8551,True
2,lb=1e-05_lc=1e-04_bs=32,S1,4,3,0.296,0.4241,0.8945,0.8531,0.8518,0.8428,0.8447,0.8506,False
2,lb=1e-05_lc=1e-04_bs=32,S1,4,4,0.2072,0.4551,0.9299,0.8446,0.84,0.8433,0.8408,0.8452,False
2,lb=1e-05_lc=1e-04_bs=32,S1,4,5,0.1347,0.5323,0.9581,0.8503,0.8449,0.8432,0.8438,0.8495,False
2,lb=1e-05_lc=1e-04_bs=32,S1,5,1,0.765,0.4555,0.6556,0.8154,0.811,0.8136,0.8116,0.8167,False
2,lb=1e-05_lc=1e-04_bs=32,S1,5,2,0.4105,0.3955,0.842,0.8493,0.8452,0.8478,0.8462,0.8499,True
2,lb=1e-05_lc=1e-04_bs=32,S1,5,3,0.2854,0.4333,0.8954,0.8493,0.8469,0.8438,0.8442,0.8479,False
2,lb=1e-05_lc=1e-04_bs=32,S1,5,4,0.1787,0.4895,0.9407,0.8352,0.8325,0.8315,0.8313,0.8362,False
