combo_id,combo_label,condition,fold,best_epoch,best_val_loss,val_accuracy,val_precision,val_recall,val_f1_macro,val_f1_weighted
1,lb=1e-05_lc=1e-04_bs=16,S1,1,2,0.4024,0.8448,0.8423,0.847,0.8428,0.8458
1,lb=1e-05_lc=1e-04_bs=16,S1,2,2,0.3924,0.8485,0.8466,0.848,0.845,0.8478
1,lb=1e-05_lc=1e-04_bs=16,S1,3,1,0.4419,0.8429,0.8407,0.8373,0.8372,0.8411
1,lb=1e-05_lc=1e-04_bs=16,S1,4,2,0.3963,0.8418,0.8397,0.8431,0.8394,0.8435
1,lb=1e-05_lc=1e-04_bs=16,S1,5,2,0.3926,0.855,0.8533,0.8575,0.8532,0.8564
2,lb=1e-05_lc=1e-04_bs=32,S1,1,2,0.4012,0.842,0.8377,0.8395,0.8372,0.8409
2,lb=1e-05_lc=1e-04_bs=32,S1,2,2,0.3957,0.8495,0.8474,0.8521,0.8481,0.8504
2,lb=1e-05_lc=1e-04_bs=32,S1,3,3,0.4008,0.8598,0.8569,0.8599,0.8577,0.8607
2,lb=1e-05_lc=1e-04_bs=32,S1,4,2,0.3853,0.8559,0.8515,0.8501,0.8499,0.8551
2,lb=1e-05_lc=1e-04_bs=32,S1,5,2,0.3955,0.8493,0.8452,0.8478,0.8462,0.8499
3,lb=1e-05_lc=1e-03_bs=16,S1,1,2,0.4236,0.8325,0.8292,0.8283,0.8285,0.8318
3,lb=1e-05_lc=1e-03_bs=16,S1,2,2,0.4274,0.841,0.8368,0.8378,0.837,0.8404
3,lb=1e-05_lc=1e-03_bs=16,S1,3,2,0.4123,0.857,0.855,0.8602,0.8547,0.8576
3,lb=1e-05_lc=1e-03_bs=16,S1,4,1,0.46,0.8352,0.8384,0.8277,0.8264,0.8322
3,lb=1e-05_lc=1e-03_bs=16,S1,5,2,0.4204,0.8484,0.8446,0.8484,0.8458,0.8491
4,lb=1e-05_lc=1e-03_bs=32,S1,1,2,0.427,0.8401,0.8424,0.8465,0.839,0.8412
4,lb=1e-05_lc=1e-03_bs=32,S1,2,2,0.4014,0.8598,0.8566,0.8616,0.8577,0.8601
4,lb=1e-05_lc=1e-03_bs=32,S1,3,3,0.4127,0.8561,0.8542,0.8578,0.8542,0.8575
4,lb=1e-05_lc=1e-03_bs=32,S1,4,1,0.4389,0.838,0.8402,0.8276,0.8306,0.8353
4,lb=1e-05_lc=1e-03_bs=32,S1,5,2,0.4029,0.8418,0.8406,0.845,0.8398,0.8432
5,lb=2e-05_lc=1e-04_bs=16,S1,1,2,0.4178,0.8448,0.8463,0.8486,0.8415,0.8442
5,lb=2e-05_lc=1e-04_bs=16,S1,2,2,0.4241,0.8485,0.8475,0.8525,0.8469,0.8496
5,lb=2e-05_lc=1e-04_bs=16,S1,3,1,0.3972,0.8532,0.8539,0.8584,0.8522,0.8546
5,lb=2e-05_lc=1e-04_bs=16,S1,4,1,0.4405,0.8418,0.8386,0.8331,0.8348,0.8401
5,lb=2e-05_lc=1e-04_bs=16,S1,5,1,0.4478,0.8343,0.8314,0.8312,0.8308,0.835
6,lb=2e-05_lc=1e-04_bs=32,S1,1,2,0.4045,0.8373,0.8471,0.8468,0.8378,0.8392
6,lb=2e-05_lc=1e-04_bs=32,S1,2,2,0.3964,0.8532,0.8502,0.8509,0.8505,0.8534
6,lb=2e-05_lc=1e-04_bs=32,S1,3,1,0.4295,0.8457,0.8422,0.8466,0.8432,0.8464
6,lb=2e-05_lc=1e-04_bs=32,S1,4,2,0.391,0.8446,0.8391,0.84,0.8392,0.8445
6,lb=2e-05_lc=1e-04_bs=32,S1,5,3,0.4082,0.854,0.8491,0.8517,0.8498,0.8541
7,lb=2e-05_lc=1e-03_bs=16,S1,1,1,0.4807,0.8203,0.8269,0.8194,0.8181,0.8212
7,lb=2e-05_lc=1e-03_bs=16,S1,2,1,0.4413,0.8325,0.828,0.8307,0.829,0.8326
7,lb=2e-05_lc=1e-03_bs=16,S1,3,1,0.416,0.8532,0.8496,0.8508,0.8498,0.8528
7,lb=2e-05_lc=1e-03_bs=16,S1,4,2,0.4708,0.8446,0.8455,0.8345,0.8332,0.8406
7,lb=2e-05_lc=1e-03_bs=16,S1,5,2,0.432,0.8531,0.8506,0.8536,0.8492,0.8529
8,lb=2e-05_lc=1e-03_bs=32,S1,1,2,0.4075,0.8288,0.8277,0.8328,0.8277,0.8297
8,lb=2e-05_lc=1e-03_bs=32,S1,2,2,0.4171,0.8532,0.8496,0.8526,0.8508,0.8537
8,lb=2e-05_lc=1e-03_bs=32,S1,3,1,0.3947,0.8627,0.8595,0.8631,0.8607,0.8632
8,lb=2e-05_lc=1e-03_bs=32,S1,4,2,0.3907,0.8475,0.8424,0.8451,0.8433,0.8479
8,lb=2e-05_lc=1e-03_bs=32,S1,5,2,0.4094,0.8399,0.8388,0.844,0.8385,0.8409
9,lb=3e-05_lc=1e-04_bs=16,S1,1,1,0.4235,0.8288,0.8267,0.8301,0.8268,0.8301
9,lb=3e-05_lc=1e-04_bs=16,S1,2,1,0.4302,0.8354,0.8326,0.8355,0.8332,0.8364
9,lb=3e-05_lc=1e-04_bs=16,S1,3,2,0.4321,0.8467,0.8445,0.8463,0.8423,0.846
9,lb=3e-05_lc=1e-04_bs=16,S1,4,2,0.4714,0.8456,0.8423,0.8392,0.838,0.8435
9,lb=3e-05_lc=1e-04_bs=16,S1,5,1,0.4403,0.838,0.8331,0.8343,0.8333,0.8377
10,lb=3e-05_lc=1e-04_bs=32,S1,1,1,0.422,0.8373,0.8363,0.8415,0.8356,0.838
10,lb=3e-05_lc=1e-04_bs=32,S1,2,2,0.4147,0.8438,0.8429,0.8463,0.8426,0.845
10,lb=3e-05_lc=1e-04_bs=32,S1,3,2,0.4222,0.8598,0.8561,0.8582,0.8568,0.8605
10,lb=3e-05_lc=1e-04_bs=32,S1,4,2,0.3845,0.8475,0.8427,0.8456,0.8436,0.8483
10,lb=3e-05_lc=1e-04_bs=32,S1,5,2,0.4203,0.8333,0.8271,0.8296,0.8274,0.833
11,lb=3e-05_lc=1e-03_bs=16,S1,1,2,0.5182,0.8373,0.8331,0.8356,0.8337,0.8367
11,lb=3e-05_lc=1e-03_bs=16,S1,2,1,0.4475,0.8391,0.8373,0.8339,0.8345,0.8379
11,lb=3e-05_lc=1e-03_bs=16,S1,3,1,0.4749,0.8523,0.8531,0.8452,0.8462,0.8502
11,lb=3e-05_lc=1e-03_bs=16,S1,4,2,0.4601,0.8333,0.8317,0.8344,0.8312,0.8348
11,lb=3e-05_lc=1e-03_bs=16,S1,5,1,0.5193,0.8013,0.8092,0.8067,0.7987,0.8019
12,lb=3e-05_lc=1e-03_bs=32,S1,1,1,0.4573,0.8354,0.8344,0.8304,0.8321,0.835
12,lb=3e-05_lc=1e-03_bs=32,S1,2,1,0.4263,0.8457,0.8443,0.8497,0.8443,0.8465
12,lb=3e-05_lc=1e-03_bs=32,S1,3,2,0.4034,0.8627,0.8588,0.8626,0.86,0.8633
12,lb=3e-05_lc=1e-03_bs=32,S1,4,1,0.417,0.8343,0.8362,0.8386,0.8323,0.8364
12,lb=3e-05_lc=1e-03_bs=32,S1,5,1,0.4406,0.8362,0.8382,0.8402,0.8337,0.8375
