combo_id,lr_bert,lr_cnn,batch_size,weight_decay,combo_label,accuracy,precision,recall,f1_macro,f1_weighted,accuracy_std,precision_std,recall_std,f1_macro_std,f1_weighted_std
1,1e-05,0.0001,16,0.01,lb=1e-05_lc=1e-04_bs=16,0.8466,0.8445,0.8466,0.8435,0.8469,0.0048,0.005,0.0066,0.0055,0.0052
2,1e-05,0.0001,32,0.01,lb=1e-05_lc=1e-04_bs=32,0.8513,0.8477,0.8499,0.8478,0.8514,0.0061,0.0064,0.0066,0.0066,0.0065
3,1e-05,0.001,16,0.01,lb=1e-05_lc=1e-03_bs=16,0.8428,0.8408,0.8405,0.8385,0.8422,0.0089,0.0086,0.0124,0.0106,0.01
4,1e-05,0.001,32,0.01,lb=1e-05_lc=1e-03_bs=32,0.8472,0.8468,0.8477,0.8443,0.8475,0.009,0.0071,0.0119,0.0101,0.0097
5,2e-05,0.0001,16,0.01,lb=2e-05_lc=1e-04_bs=16,0.8445,0.8435,0.8448,0.8412,0.8447,0.0064,0.0078,0.0108,0.0078,0.0069
6,2e-05,0.0001,32,0.01,lb=2e-05_lc=1e-04_bs=32,0.847,0.8455,0.8472,0.8441,0.8475,0.0061,0.0042,0.0042,0.0053,0.0056
7,2e-05,0.001,16,0.01,lb=2e-05_lc=1e-03_bs=16,0.8407,0.8401,0.8378,0.8359,0.84,0.0127,0.0105,0.0128,0.0122,0.0122
8,2e-05,0.001,32,0.01,lb=2e-05_lc=1e-03_bs=32,0.8464,0.8436,0.8475,0.8442,0.8471,0.0115,0.0106,0.01,0.0111,0.0114
9,3e-05,0.0001,16,0.01,lb=3e-05_lc=1e-04_bs=16,0.8389,0.8358,0.8371,0.8347,0.8387,0.0066,0.0066,0.0054,0.0052,0.0056
10,3e-05,0.0001,32,0.01,lb=3e-05_lc=1e-04_bs=32,0.8443,0.841,0.8442,0.8412,0.845,0.0092,0.0095,0.0092,0.0097,0.0094
11,3e-05,0.001,16,0.01,lb=3e-05_lc=1e-03_bs=16,0.8327,0.8329,0.8312,0.8289,0.8323,0.0169,0.0141,0.0129,0.0159,0.0161
12,3e-05,0.001,32,0.01,lb=3e-05_lc=1e-03_bs=32,0.8429,0.8424,0.8443,0.8405,0.8437,0.0107,0.0089,0.011,0.0108,0.0106
