combo_id,lr_bert,lr_cnn,batch_size,weight_decay,f1_macro,f1_macro_std,f1_weighted,accuracy,precision,recall
2,1e-05,0.0001,32,0.01,0.8478,0.0066,0.8514,0.8513,0.8477,0.8499
4,1e-05,0.001,32,0.01,0.8443,0.0101,0.8475,0.8472,0.8468,0.8477
8,2e-05,0.001,32,0.01,0.8442,0.0111,0.8471,0.8464,0.8436,0.8475
6,2e-05,0.0001,32,0.01,0.8441,0.0053,0.8475,0.847,0.8455,0.8472
1,1e-05,0.0001,16,0.01,0.8435,0.0055,0.8469,0.8466,0.8445,0.8466
5,2e-05,0.0001,16,0.01,0.8412,0.0078,0.8447,0.8445,0.8435,0.8448
10,3e-05,0.0001,32,0.01,0.8412,0.0097,0.845,0.8443,0.841,0.8442
12,3e-05,0.001,32,0.01,0.8405,0.0108,0.8437,0.8429,0.8424,0.8443
3,1e-05,0.001,16,0.01,0.8385,0.0106,0.8422,0.8428,0.8408,0.8405
7,2e-05,0.001,16,0.01,0.8359,0.0122,0.84,0.8407,0.8401,0.8378
