combo_id,combo_label,condition,fold,epoch,train_loss,val_loss,train_f1,val_accuracy,val_precision,val_recall,val_f1_macro,val_f1_weighted,is_best_epoch
1,"ng=[1, 2, 3]_f=128_dr=0.3_relu",S1,1,1,0.7374,0.4672,0.6689,0.8271,0.8234,0.8218,0.8224,0.8264,False
1,"ng=[1, 2, 3]_f=128_dr=0.3_relu",S1,1,2,0.3922,0.4233,0.8544,0.8374,0.8343,0.838,0.8356,0.8379,True
1,"ng=[1, 2, 3]_f=128_dr=0.3_relu",S1,1,3,0.2177,0.5808,0.9293,0.8148,0.8161,0.8197,0.8135,0.8163,False
1,"ng=[1, 2, 3]_f=128_dr=0.3_relu",S1,1,4,0.1264,0.7307,0.9587,0.8374,0.8381,0.8311,0.8315,0.8355,False
1,"ng=[1, 2, 3]_f=128_dr=0.3_relu",S1,1,5,0.0708,0.8673,0.9793,0.8289,0.825,0.8263,0.8256,0.829,False
1,"ng=[1, 2, 3]_f=128_dr=0.3_relu",S1,2,1,0.7332,0.4423,0.6799,0.8373,0.8397,0.8292,0.83,0.8344,False
1,"ng=[1, 2, 3]_f=128_dr=0.3_relu",S1,2,2,0.3916,0.3977,0.8544,0.8617,0.858,0.8606,0.859,0.8619,True
1,"ng=[1, 2, 3]_f=128_dr=0.3_relu",S1,2,3,0.2221,0.4943,0.9235,0.8523,0.8499,0.851,0.8493,0.8535,False
1,"ng=[1, 2, 3]_f=128_dr=0.3_relu",S1,2,4,0.1371,0.5908,0.9607,0.8532,0.8505,0.8535,0.8502,0.8531,False
1,"ng=[1, 2, 3]_f=128_dr=0.3_relu",S1,2,5,0.0747,0.6961,0.9794,0.8523,0.8502,0.8477,0.8481,0.8516,False
1,"ng=[1, 2, 3]_f=128_dr=0.3_relu",S1,3,1,0.732,0.5125,0.6708,0.8109,0.8105,0.799,0.8022,0.8082,False
1,"ng=[1, 2, 3]_f=128_dr=0.3_relu",S1,3,2,0.3784,0.4713,0.8592,0.8429,0.8461,0.8405,0.8375,0.8425,True
1,"ng=[1, 2, 3]_f=128_dr=0.3_relu",S1,3,3,0.2278,0.4856,0.9191,0.8495,0.8451,0.8481,0.8459,0.85,False
1,"ng=[1, 2, 3]_f=128_dr=0.3_relu",S1,3,4,0.1183,0.6576,0.9643,0.8438,0.8396,0.8417,0.8397,0.844,False
1,"ng=[1, 2, 3]_f=128_dr=0.3_relu",S1,3,5,0.0704,0.8751,0.9797,0.8316,0.8303,0.8261,0.8267,0.8317,False
1,"ng=[1, 2, 3]_f=128_dr=0.3_relu",S1,4,1,0.7372,0.4437,0.6642,0.825,0.8262,0.8282,0.8235,0.8273,False
1,"ng=[1, 2, 3]_f=128_dr=0.3_relu",S1,4,2,0.3926,0.4064,0.8592,0.8523,0.8496,0.8544,0.8505,0.8531,True
1,"ng=[1, 2, 3]_f=128_dr=0.3_relu",S1,4,3,0.2218,0.5043,0.9258,0.8391,0.8404,0.8325,0.8355,0.8387,False
