combo_id,combo_label,condition,fold,best_epoch,best_val_loss,val_accuracy,val_precision,val_recall,val_f1_macro,val_f1_weighted
1,"ng=[1, 2, 3]_f=128_dr=0.3_relu",S1,1,2,0.3764,0.8561,0.8515,0.8535,0.8513,0.8552
1,"ng=[1, 2, 3]_f=128_dr=0.3_relu",S1,2,3,0.3621,0.8664,0.8622,0.8638,0.8626,0.8661
1,"ng=[1, 2, 3]_f=128_dr=0.3_relu",S1,3,3,0.3643,0.8561,0.8518,0.8541,0.8522,0.8573
1,"ng=[1, 2, 3]_f=128_dr=0.3_relu",S1,4,2,0.425,0.8315,0.8304,0.8256,0.8247,0.8294
1,"ng=[1, 2, 3]_f=128_dr=0.3_relu",S1,5,2,0.4559,0.8249,0.8299,0.8306,0.8242,0.8274
2,"ng=[1, 2, 3]_f=128_dr=0.3_gelu",S1,1,3,0.3923,0.8598,0.8575,0.861,0.8578,0.8612
2,"ng=[1, 2, 3]_f=128_dr=0.3_gelu",S1,2,2,0.36,0.8598,0.8579,0.8628,0.8578,0.8608
2,"ng=[1, 2, 3]_f=128_dr=0.3_gelu",S1,3,2,0.3843,0.841,0.8462,0.8451,0.8401,0.8438
2,"ng=[1, 2, 3]_f=128_dr=0.3_gelu",S1,4,2,0.4161,0.8324,0.8286,0.8282,0.8283,0.8319
2,"ng=[1, 2, 3]_f=128_dr=0.3_gelu",S1,5,2,0.4244,0.8315,0.8307,0.8348,0.8296,0.8329
3,"ng=[1, 2, 3]_f=128_dr=0.3_elu",S1,1,2,0.3808,0.8448,0.8466,0.8498,0.8436,0.8466
3,"ng=[1, 2, 3]_f=128_dr=0.3_elu",S1,2,2,0.3777,0.8542,0.8498,0.8533,0.8509,0.8548
3,"ng=[1, 2, 3]_f=128_dr=0.3_elu",S1,3,2,0.3836,0.8551,0.8526,0.8529,0.852,0.8559
3,"ng=[1, 2, 3]_f=128_dr=0.3_elu",S1,4,3,0.4319,0.8333,0.8302,0.8337,0.8312,0.834
3,"ng=[1, 2, 3]_f=128_dr=0.3_elu",S1,5,2,0.4408,0.8333,0.8311,0.8269,0.8287,0.8327
4,"ng=[1, 2, 3]_f=128_dr=0.5_relu",S1,1,3,0.3966,0.8542,0.8502,0.8549,0.8511,0.8547
4,"ng=[1, 2, 3]_f=128_dr=0.5_relu",S1,2,2,0.3739,0.8532,0.85,0.8541,0.8507,0.8543
4,"ng=[1, 2, 3]_f=128_dr=0.5_relu",S1,3,3,0.3658,0.8664,0.8623,0.8644,0.8631,0.8669
4,"ng=[1, 2, 3]_f=128_dr=0.5_relu",S1,4,2,0.4238,0.8315,0.8281,0.8296,0.8288,0.8316
4,"ng=[1, 2, 3]_f=128_dr=0.5_relu",S1,5,2,0.4503,0.8286,0.8242,0.8237,0.8238,0.8282
5,"ng=[1, 2, 3]_f=128_dr=0.5_gelu",S1,1,2,0.3892,0.8429,0.8416,0.8463,0.8407,0.844
5,"ng=[1, 2, 3]_f=128_dr=0.5_gelu",S1,2,3,0.3649,0.857,0.853,0.8541,0.8535,0.857
