combo_id,batch,ngram,filter_size,dropout,activation,combo_label,accuracy,precision,recall,f1_macro,f1_weighted,accuracy_std,precision_std,recall_std,f1_macro_std,f1_weighted_std
1,A,"[1, 2, 3]",128,0.3,relu,"ng=[1, 2, 3]_f=128_dr=0.3_relu",0.8478,0.8461,0.8464,0.8443,0.8477,0.0084,0.0078,0.0093,0.009,0.0087
2,A,"[1, 2, 3]",128,0.3,gelu,"ng=[1, 2, 3]_f=128_dr=0.3_gelu",0.836,0.8336,0.8344,0.8318,0.836,0.012,0.0116,0.0102,0.0115,0.0115
3,A,"[1, 2, 3]",128,0.3,elu,"ng=[1, 2, 3]_f=128_dr=0.3_elu",0.8478,0.8462,0.8473,0.8449,0.8479,0.0123,0.011,0.0123,0.0123,0.0124
4,A,"[1, 2, 3]",128,0.5,relu,"ng=[1, 2, 3]_f=128_dr=0.5_relu",0.8397,0.8373,0.8359,0.8349,0.8389,0.0097,0.0094,0.0119,0.0103,0.0098
5,A,"[1, 2, 3]",128,0.5,gelu,"ng=[1, 2, 3]_f=128_dr=0.5_gelu",0.8442,0.8419,0.8454,0.8418,0.8448,0.009,0.0092,0.0109,0.0094,0.0094
6,A,"[1, 2, 3]",128,0.5,elu,"ng=[1, 2, 3]_f=128_dr=0.5_elu",0.8359,0.835,0.8336,0.8318,0.8356,0.004,0.0042,0.0091,0.0062,0.0056
7,A,"[1, 2, 3]",256,0.3,relu,"ng=[1, 2, 3]_f=256_dr=0.3_relu",0.8412,0.8391,0.8403,0.8381,0.8414,0.0098,0.0101,0.0109,0.0098,0.0097
8,A,"[1, 2, 3]",256,0.3,gelu,"ng=[1, 2, 3]_f=256_dr=0.3_gelu",0.8426,0.8409,0.8399,0.8382,0.842,0.0096,0.009,0.0115,0.0105,0.0106
9,A,"[1, 2, 3]",256,0.3,elu,"ng=[1, 2, 3]_f=256_dr=0.3_elu",0.8371,0.836,0.8374,0.8332,0.8371,0.0103,0.0088,0.0103,0.0103,0.01
10,A,"[1, 2, 3]",256,0.5,relu,"ng=[1, 2, 3]_f=256_dr=0.5_relu",0.8459,0.8429,0.8447,0.843,0.8462,0.0082,0.0082,0.0077,0.008,0.008
11,A,"[1, 2, 3]",256,0.5,gelu,"ng=[1, 2, 3]_f=256_dr=0.5_gelu",0.8397,0.8386,0.8359,0.835,0.8392,0.0088,0.0106,0.0092,0.0091,0.0085
12,A,"[1, 2, 3]",256,0.5,elu,"ng=[1, 2, 3]_f=256_dr=0.5_elu",0.8371,0.8363,0.8372,0.8341,0.8373,0.0099,0.0075,0.0075,0.0093,0.0092
