combo_id,combo_label,condition,fold,epoch,train_loss,val_loss,train_f1,val_accuracy,val_precision,val_recall,val_f1_macro,val_f1_weighted,is_best_epoch
101,"ng=[2, 3, 4]_f=128_dr=0.3_relu",S1,1,1,0.7719,0.4301,0.6603,0.8382,0.8353,0.8393,0.8356,0.8394,False
101,"ng=[2, 3, 4]_f=128_dr=0.3_relu",S1,1,2,0.4067,0.4017,0.8477,0.8438,0.8453,0.8481,0.843,0.8458,False
101,"ng=[2, 3, 4]_f=128_dr=0.3_relu",S1,1,3,0.2942,0.391,0.894,0.8579,0.8547,0.8576,0.8555,0.8589,True
101,"ng=[2, 3, 4]_f=128_dr=0.3_relu",S1,1,4,0.1961,0.4662,0.9341,0.8598,0.858,0.8553,0.8546,0.8579,False
101,"ng=[2, 3, 4]_f=128_dr=0.3_relu",S1,1,5,0.1313,0.5976,0.9568,0.8467,0.8465,0.841,0.839,0.8438,False
101,"ng=[2, 3, 4]_f=128_dr=0.3_relu",S1,1,6,0.0829,0.7188,0.9749,0.8495,0.8491,0.8433,0.8447,0.8479,False
101,"ng=[2, 3, 4]_f=128_dr=0.3_relu",S1,2,1,0.7892,0.4173,0.6273,0.8514,0.8482,0.8519,0.8494,0.852,False
101,"ng=[2, 3, 4]_f=128_dr=0.3_relu",S1,2,2,0.4142,0.3604,0.8397,0.8598,0.8576,0.8623,0.858,0.8609,True
101,"ng=[2, 3, 4]_f=128_dr=0.3_relu",S1,2,3,0.2856,0.3814,0.8953,0.8504,0.85,0.8513,0.8487,0.8521,False
101,"ng=[2, 3, 4]_f=128_dr=0.3_relu",S1,2,4,0.1908,0.4384,0.9378,0.857,0.8523,0.8544,0.8532,0.8572,False
101,"ng=[2, 3, 4]_f=128_dr=0.3_relu",S1,2,5,0.1148,0.5361,0.9647,0.857,0.8522,0.8536,0.8522,0.8567,False
101,"ng=[2, 3, 4]_f=128_dr=0.3_relu",S1,3,1,0.782,0.4738,0.6363,0.826,0.8312,0.8248,0.8224,0.8273,False
101,"ng=[2, 3, 4]_f=128_dr=0.3_relu",S1,3,2,0.4103,0.3665,0.845,0.857,0.8531,0.8558,0.8538,0.858,True
101,"ng=[2, 3, 4]_f=128_dr=0.3_relu",S1,3,3,0.2825,0.372,0.8952,0.8674,0.865,0.8667,0.8647,0.8686,False
101,"ng=[2, 3, 4]_f=128_dr=0.3_relu",S1,3,4,0.1858,0.4339,0.9348,0.8589,0.8578,0.8618,0.8569,0.8605,False
101,"ng=[2, 3, 4]_f=128_dr=0.3_relu",S1,3,5,0.1201,0.5441,0.9604,0.8467,0.8459,0.8431,0.8427,0.8469,False
101,"ng=[2, 3, 4]_f=128_dr=0.3_relu",S1,4,1,0.794,0.4936,0.637,0.8041,0.8054,0.7945,0.7973,0.8016,False
101,"ng=[2, 3, 4]_f=128_dr=0.3_relu",S1,4,2,0.3998,0.4125,0.8514,0.8409,0.8371,0.839,0.8371,0.8402,True
101,"ng=[2, 3, 4]_f=128_dr=0.3_relu",S1,4,3,0.2739,0.4685,0.9021,0.8296,0.8272,0.8244,0.8231,0.8273,False
101,"ng=[2, 3, 4]_f=128_dr=0.3_relu",S1,4,4,0.1847,0.6073,0.939,0.8211,0.819,0.8149,0.8166,0.8205,False
101,"ng=[2, 3, 4]_f=128_dr=0.3_relu",S1,4,5,0.1157,0.6849,0.9644,0.8239,0.8216,0.8181,0.8191,0.8228,False
101,"ng=[2, 3, 4]_f=128_dr=0.3_relu",S1,5,1,0.7722,0.6193,0.6514,0.7684,0.7863,0.7488,0.7501,0.7577,False
101,"ng=[2, 3, 4]_f=128_dr=0.3_relu",S1,5,2,0.4083,0.4261,0.8389,0.8324,0.8277,0.8302,0.8286,0.8329,True
101,"ng=[2, 3, 4]_f=128_dr=0.3_relu",S1,5,3,0.272,0.4692,0.9008,0.8437,0.8398,0.8407,0.8401,0.8441,False
101,"ng=[2, 3, 4]_f=128_dr=0.3_relu",S1,5,4,0.1955,0.6033,0.9305,0.8164,0.8164,0.8055,0.8089,0.8142,False
101,"ng=[2, 3, 4]_f=128_dr=0.3_relu",S1,5,5,0.1225,0.6155,0.9594,0.8324,0.83,0.8295,0.8285,0.8333,False
102,"ng=[2, 3, 4]_f=128_dr=0.3_gelu",S1,1,1,0.754,0.4351,0.6541,0.826,0.8287,0.8305,0.8249,0.8284,False
102,"ng=[2, 3, 4]_f=128_dr=0.3_gelu",S1,1,2,0.3967,0.3677,0.8477,0.8485,0.8459,0.8506,0.8461,0.8495,True
102,"ng=[2, 3, 4]_f=128_dr=0.3_gelu",S1,1,3,0.274,0.3998,0.9037,0.857,0.8551,0.8598,0.8551,0.8582,False
102,"ng=[2, 3, 4]_f=128_dr=0.3_gelu",S1,1,4,0.1887,0.458,0.9379,0.8579,0.8537,0.8577,0.8551,0.858,False
102,"ng=[2, 3, 4]_f=128_dr=0.3_gelu",S1,1,5,0.1162,0.5143,0.9628,0.8721,0.8683,0.8731,0.8695,0.8718,False
102,"ng=[2, 3, 4]_f=128_dr=0.3_gelu",S1,2,1,0.7525,0.4387,0.6609,0.8194,0.8152,0.8136,0.8122,0.8171,False
102,"ng=[2, 3, 4]_f=128_dr=0.3_gelu",S1,2,2,0.4104,0.3653,0.8416,0.8514,0.848,0.8527,0.8488,0.852,True
102,"ng=[2, 3, 4]_f=128_dr=0.3_gelu",S1,2,3,0.2822,0.3942,0.8963,0.8645,0.8606,0.8645,0.8612,0.8644,False
102,"ng=[2, 3, 4]_f=128_dr=0.3_gelu",S1,2,4,0.1857,0.4845,0.9324,0.8448,0.8418,0.8375,0.8392,0.8439,False
102,"ng=[2, 3, 4]_f=128_dr=0.3_gelu",S1,2,5,0.1123,0.5672,0.9649,0.8485,0.8444,0.8457,0.845,0.8488,False
102,"ng=[2, 3, 4]_f=128_dr=0.3_gelu",S1,3,1,0.7495,0.4484,0.6689,0.8231,0.8339,0.826,0.8217,0.8268,False
102,"ng=[2, 3, 4]_f=128_dr=0.3_gelu",S1,3,2,0.3996,0.3816,0.8438,0.8664,0.867,0.8593,0.8592,0.8644,True
102,"ng=[2, 3, 4]_f=128_dr=0.3_gelu",S1,3,3,0.2773,0.3892,0.8975,0.8495,0.8495,0.8475,0.8463,0.8501,False
102,"ng=[2, 3, 4]_f=128_dr=0.3_gelu",S1,3,4,0.1775,0.4508,0.937,0.8579,0.8578,0.8583,0.8558,0.8592,False
102,"ng=[2, 3, 4]_f=128_dr=0.3_gelu",S1,3,5,0.1082,0.5713,0.9634,0.8391,0.8379,0.8357,0.8355,0.8399,False
102,"ng=[2, 3, 4]_f=128_dr=0.3_gelu",S1,4,1,0.7754,0.4657,0.6501,0.8079,0.8065,0.8055,0.8011,0.8058,False
102,"ng=[2, 3, 4]_f=128_dr=0.3_gelu",S1,4,2,0.4017,0.4025,0.8429,0.8362,0.8325,0.8325,0.832,0.8354,True
102,"ng=[2, 3, 4]_f=128_dr=0.3_gelu",S1,4,3,0.2736,0.4331,0.9052,0.8371,0.8333,0.837,0.8346,0.8376,False
102,"ng=[2, 3, 4]_f=128_dr=0.3_gelu",S1,4,4,0.1828,0.6257,0.9413,0.8258,0.8248,0.8182,0.8192,0.8235,False
102,"ng=[2, 3, 4]_f=128_dr=0.3_gelu",S1,4,5,0.1187,0.6496,0.9597,0.8362,0.832,0.8362,0.8329,0.8363,False
102,"ng=[2, 3, 4]_f=128_dr=0.3_gelu",S1,5,1,0.747,0.4478,0.6737,0.8333,0.8295,0.833,0.83,0.8345,False
102,"ng=[2, 3, 4]_f=128_dr=0.3_gelu",S1,5,2,0.3903,0.4382,0.8479,0.8296,0.8284,0.8231,0.8221,0.827,True
102,"ng=[2, 3, 4]_f=128_dr=0.3_gelu",S1,5,3,0.2772,0.4571,0.8989,0.839,0.8351,0.8364,0.8357,0.8394,False
102,"ng=[2, 3, 4]_f=128_dr=0.3_gelu",S1,5,4,0.1704,0.6343,0.9432,0.8183,0.8167,0.8088,0.8113,0.8172,False
