combo_id,combo_label,condition,fold,best_epoch,best_val_loss,val_accuracy,val_precision,val_recall,val_f1_macro,val_f1_weighted
101,"ng=[2, 3, 4]_f=128_dr=0.3_relu",S1,1,3,0.391,0.8579,0.8547,0.8576,0.8555,0.8589
101,"ng=[2, 3, 4]_f=128_dr=0.3_relu",S1,2,2,0.3604,0.8598,0.8576,0.8623,0.858,0.8609
101,"ng=[2, 3, 4]_f=128_dr=0.3_relu",S1,3,2,0.3665,0.857,0.8531,0.8558,0.8538,0.858
101,"ng=[2, 3, 4]_f=128_dr=0.3_relu",S1,4,2,0.4125,0.8409,0.8371,0.839,0.8371,0.8402
101,"ng=[2, 3, 4]_f=128_dr=0.3_relu",S1,5,2,0.4261,0.8324,0.8277,0.8302,0.8286,0.8329
102,"ng=[2, 3, 4]_f=128_dr=0.3_gelu",S1,1,2,0.3677,0.8485,0.8459,0.8506,0.8461,0.8495
102,"ng=[2, 3, 4]_f=128_dr=0.3_gelu",S1,2,2,0.3653,0.8514,0.848,0.8527,0.8488,0.852
102,"ng=[2, 3, 4]_f=128_dr=0.3_gelu",S1,3,2,0.3816,0.8664,0.867,0.8593,0.8592,0.8644
102,"ng=[2, 3, 4]_f=128_dr=0.3_gelu",S1,4,2,0.4025,0.8362,0.8325,0.8325,0.832,0.8354
102,"ng=[2, 3, 4]_f=128_dr=0.3_gelu",S1,5,2,0.4382,0.8296,0.8284,0.8231,0.8221,0.827
103,"ng=[2, 3, 4]_f=128_dr=0.3_elu",S1,1,2,0.4096,0.8514,0.8503,0.8446,0.846,0.8496
103,"ng=[2, 3, 4]_f=128_dr=0.3_elu",S1,2,2,0.4028,0.842,0.8402,0.8363,0.838,0.8418
103,"ng=[2, 3, 4]_f=128_dr=0.3_elu",S1,3,3,0.371,0.857,0.8525,0.8549,0.8531,0.8571
103,"ng=[2, 3, 4]_f=128_dr=0.3_elu",S1,4,2,0.4211,0.8296,0.8257,0.8282,0.8267,0.83
