combo_id,batch,ngram,filter_size,dropout,activation,combo_label,accuracy,precision,recall,f1_macro,f1_weighted,accuracy_std,precision_std,recall_std,f1_macro_std,f1_weighted_std
101,B,"[2, 3, 4]",128,0.3,relu,"ng=[2, 3, 4]_f=128_dr=0.3_relu",0.8496,0.846,0.849,0.8466,0.8502,0.0109,0.0116,0.0123,0.0116,0.0114
102,B,"[2, 3, 4]",128,0.3,gelu,"ng=[2, 3, 4]_f=128_dr=0.3_gelu",0.8464,0.8444,0.8436,0.8416,0.8457,0.0128,0.0136,0.0136,0.0131,0.0131
103,B,"[2, 3, 4]",128,0.3,elu,"ng=[2, 3, 4]_f=128_dr=0.3_elu",0.8417,0.8403,0.8393,0.8383,0.8419,0.0114,0.0102,0.0095,0.0102,0.0105
104,B,"[2, 3, 4]",128,0.5,relu,"ng=[2, 3, 4]_f=128_dr=0.5_relu",0.8436,0.8416,0.8451,0.841,0.8447,0.0136,0.0121,0.0126,0.0131,0.0132
105,B,"[2, 3, 4]",128,0.5,gelu,"ng=[2, 3, 4]_f=128_dr=0.5_gelu",0.8451,0.8431,0.8461,0.8423,0.8455,0.0156,0.0143,0.0157,0.0157,0.0158
106,B,"[2, 3, 4]",128,0.5,elu,"ng=[2, 3, 4]_f=128_dr=0.5_elu",0.8466,0.8449,0.8457,0.8431,0.8469,0.0183,0.016,0.0166,0.0175,0.0176
107,B,"[2, 3, 4]",256,0.3,relu,"ng=[2, 3, 4]_f=256_dr=0.3_relu",0.8509,0.8479,0.8494,0.8469,0.8506,0.0119,0.0117,0.0137,0.0126,0.0125
108,B,"[2, 3, 4]",256,0.3,gelu,"ng=[2, 3, 4]_f=256_dr=0.3_gelu",0.8455,0.8424,0.8431,0.8407,0.845,0.0156,0.0142,0.0153,0.0161,0.0159
109,B,"[2, 3, 4]",256,0.3,elu,"ng=[2, 3, 4]_f=256_dr=0.3_elu",0.8406,0.8395,0.839,0.8368,0.8404,0.0113,0.0131,0.0126,0.0119,0.0117
110,B,"[2, 3, 4]",256,0.5,relu,"ng=[2, 3, 4]_f=256_dr=0.5_relu",0.8489,0.8452,0.8478,0.8457,0.8493,0.012,0.0113,0.0113,0.0114,0.0117
111,B,"[2, 3, 4]",256,0.5,gelu,"ng=[2, 3, 4]_f=256_dr=0.5_gelu",0.8462,0.845,0.8462,0.8436,0.8471,0.0162,0.0146,0.0174,0.0165,0.0167
112,B,"[2, 3, 4]",256,0.5,elu,"ng=[2, 3, 4]_f=256_dr=0.5_elu",0.8457,0.8433,0.8448,0.8427,0.8461,0.0117,0.0116,0.0143,0.0123,0.0124
