combo_id,combo_label,condition,fold,epoch,train_loss,val_loss,train_f1,val_accuracy,val_precision,val_recall,val_f1_macro,val_f1_weighted,is_best_epoch
1,lb=1e-05_lc=1e-04_bs=16,S1,1,1,0.74,0.4707,0.6682,0.8148,0.8245,0.8231,0.8148,0.8174,False
1,lb=1e-05_lc=1e-04_bs=16,S1,1,2,0.4001,0.3822,0.8487,0.8553,0.8524,0.8523,0.8518,0.8558,True
1,lb=1e-05_lc=1e-04_bs=16,S1,1,3,0.2701,0.4108,0.9051,0.8609,0.8589,0.8616,0.8579,0.8611,False
1,lb=1e-05_lc=1e-04_bs=16,S1,1,4,0.1611,0.626,0.9511,0.8459,0.8424,0.8412,0.8417,0.8457,False
1,lb=1e-05_lc=1e-04_bs=16,S1,1,5,0.0863,0.8283,0.975,0.844,0.8407,0.8394,0.84,0.8438,False
1,lb=1e-05_lc=1e-04_bs=16,S1,2,1,0.7134,0.4496,0.6927,0.8175,0.8138,0.8167,0.815,0.8177,True
1,lb=1e-05_lc=1e-04_bs=16,S1,2,2,0.3946,0.4566,0.8494,0.8363,0.8372,0.8307,0.8317,0.8344,False
1,lb=1e-05_lc=1e-04_bs=16,S1,2,3,0.2528,0.4862,0.9125,0.8438,0.8408,0.8417,0.8391,0.8426,False
1,lb=1e-05_lc=1e-04_bs=16,S1,2,4,0.1542,0.696,0.9529,0.842,0.8389,0.8426,0.84,0.8427,False
1,lb=1e-05_lc=1e-04_bs=16,S1,3,1,0.7085,0.4101,0.6936,0.842,0.8375,0.841,0.838,0.8423,True
1,lb=1e-05_lc=1e-04_bs=16,S1,3,2,0.3888,0.4161,0.8538,0.842,0.8425,0.8406,0.8391,0.8436,False
1,lb=1e-05_lc=1e-04_bs=16,S1,3,3,0.2555,0.4466,0.9138,0.8636,0.8595,0.8628,0.8606,0.8641,False
1,lb=1e-05_lc=1e-04_bs=16,S1,3,4,0.1542,0.6115,0.9534,0.8561,0.851,0.8526,0.8517,0.8563,False
1,lb=1e-05_lc=1e-04_bs=16,S1,4,1,0.7093,0.4227,0.6872,0.8288,0.8253,0.8263,0.8234,0.8285,False
1,lb=1e-05_lc=1e-04_bs=16,S1,4,2,0.3973,0.3966,0.8496,0.8467,0.8433,0.8476,0.8441,0.8473,True
1,lb=1e-05_lc=1e-04_bs=16,S1,4,3,0.2592,0.6202,0.9078,0.8184,0.8236,0.8059,0.8109,0.8159,False
1,lb=1e-05_lc=1e-04_bs=16,S1,4,4,0.1525,0.7704,0.95,0.8316,0.8394,0.8213,0.8238,0.828,False
1,lb=1e-05_lc=1e-04_bs=16,S1,4,5,0.0847,0.9273,0.9748,0.841,0.8425,0.8323,0.8348,0.839,False
1,lb=1e-05_lc=1e-04_bs=16,S1,5,1,0.7229,0.4182,0.6763,0.842,0.8379,0.8408,0.838,0.8426,False
1,lb=1e-05_lc=1e-04_bs=16,S1,5,2,0.401,0.3867,0.8491,0.8532,0.8486,0.8512,0.8495,0.8539,True
1,lb=1e-05_lc=1e-04_bs=16,S1,5,3,0.2645,0.4432,0.9133,0.8608,0.8576,0.8611,0.8576,0.8614,False
1,lb=1e-05_lc=1e-04_bs=16,S1,5,4,0.1558,0.6528,0.952,0.8485,0.8451,0.8432,0.8441,0.8483,False
1,lb=1e-05_lc=1e-04_bs=16,S1,5,5,0.0756,0.8634,0.9776,0.8429,0.8396,0.8415,0.8398,0.8439,False
2,lb=1e-05_lc=1e-04_bs=32,S1,1,1,0.7862,0.4394,0.6494,0.8318,0.8312,0.8251,0.8275,0.831,False
2,lb=1e-05_lc=1e-04_bs=32,S1,1,2,0.4146,0.3799,0.8452,0.8609,0.857,0.8584,0.8575,0.8614,True
2,lb=1e-05_lc=1e-04_bs=32,S1,1,3,0.3052,0.4473,0.8896,0.8496,0.8522,0.8399,0.8434,0.8476,False
2,lb=1e-05_lc=1e-04_bs=32,S1,1,4,0.199,0.425,0.933,0.8675,0.8635,0.8654,0.864,0.8675,False
2,lb=1e-05_lc=1e-04_bs=32,S1,1,5,0.1256,0.4943,0.96,0.8618,0.861,0.8551,0.8566,0.8606,False
2,lb=1e-05_lc=1e-04_bs=32,S1,2,1,0.785,0.4715,0.6462,0.8156,0.8129,0.8109,0.8099,0.8137,False
2,lb=1e-05_lc=1e-04_bs=32,S1,2,2,0.4127,0.4087,0.8447,0.8391,0.8349,0.8367,0.8354,0.8389,True
2,lb=1e-05_lc=1e-04_bs=32,S1,2,3,0.2766,0.4418,0.8992,0.8288,0.8249,0.8259,0.8254,0.8288,False
2,lb=1e-05_lc=1e-04_bs=32,S1,2,4,0.1807,0.6141,0.9409,0.8109,0.8151,0.8001,0.8039,0.8082,False
2,lb=1e-05_lc=1e-04_bs=32,S1,2,5,0.1133,0.764,0.9627,0.8222,0.8284,0.8115,0.8153,0.8192,False
2,lb=1e-05_lc=1e-04_bs=32,S1,3,1,0.7918,0.447,0.6472,0.8184,0.8154,0.8194,0.815,0.8192,False
2,lb=1e-05_lc=1e-04_bs=32,S1,3,2,0.4121,0.4247,0.8469,0.8373,0.8421,0.8438,0.8367,0.8394,False
2,lb=1e-05_lc=1e-04_bs=32,S1,3,3,0.2899,0.4122,0.8921,0.8636,0.8592,0.8615,0.8596,0.8632,True
2,lb=1e-05_lc=1e-04_bs=32,S1,3,4,0.1853,0.5067,0.9316,0.8391,0.8421,0.8369,0.8363,0.8408,False
2,lb=1e-05_lc=1e-04_bs=32,S1,3,5,0.1139,0.59,0.9621,0.8504,0.8503,0.8487,0.8475,0.8519,False
2,lb=1e-05_lc=1e-04_bs=32,S1,3,6,0.0695,0.7007,0.9783,0.8467,0.8432,0.8476,0.8438,0.8475,False
2,lb=1e-05_lc=1e-04_bs=32,S1,4,1,0.7793,0.457,0.6568,0.8231,0.819,0.8179,0.8161,0.8215,False
2,lb=1e-05_lc=1e-04_bs=32,S1,4,2,0.4125,0.4456,0.8406,0.8354,0.8344,0.8292,0.8303,0.8341,True
2,lb=1e-05_lc=1e-04_bs=32,S1,4,3,0.2813,0.4507,0.8987,0.8514,0.8491,0.8468,0.8476,0.8509,False
2,lb=1e-05_lc=1e-04_bs=32,S1,4,4,0.1819,0.488,0.9407,0.8523,0.8524,0.8494,0.8484,0.8514,False
2,lb=1e-05_lc=1e-04_bs=32,S1,4,5,0.1136,0.5958,0.9608,0.8363,0.8326,0.8365,0.8337,0.8369,False
2,lb=1e-05_lc=1e-04_bs=32,S1,5,1,0.7884,0.4619,0.6344,0.8288,0.8246,0.822,0.8224,0.8274,False
2,lb=1e-05_lc=1e-04_bs=32,S1,5,2,0.4109,0.3914,0.8401,0.8542,0.8504,0.8518,0.8501,0.8541,True
2,lb=1e-05_lc=1e-04_bs=32,S1,5,3,0.2862,0.4109,0.8979,0.8542,0.8503,0.8508,0.8493,0.8537,False
2,lb=1e-05_lc=1e-04_bs=32,S1,5,4,0.1846,0.4534,0.9385,0.8627,0.8584,0.8614,0.8595,0.8633,False
2,lb=1e-05_lc=1e-04_bs=32,S1,5,5,0.113,0.5856,0.9612,0.8476,0.8481,0.8403,0.8432,0.8467,False
3,lb=1e-05_lc=1e-03_bs=16,S1,1,1,0.6246,0.4166,0.7303,0.8383,0.8348,0.8366,0.8337,0.8386,True
3,lb=1e-05_lc=1e-03_bs=16,S1,1,2,0.415,0.4302,0.8503,0.8487,0.8536,0.84,0.8437,0.8468,False
3,lb=1e-05_lc=1e-03_bs=16,S1,1,3,0.2769,0.6978,0.9075,0.8393,0.8529,0.8274,0.8285,0.8337,False
3,lb=1e-05_lc=1e-03_bs=16,S1,1,4,0.1695,0.6168,0.9467,0.8506,0.846,0.8487,0.8469,0.8508,False
3,lb=1e-05_lc=1e-03_bs=16,S1,2,1,0.6232,0.6087,0.7355,0.7893,0.8163,0.7722,0.7629,0.7727,False
3,lb=1e-05_lc=1e-03_bs=16,S1,2,2,0.4113,0.4208,0.8596,0.8523,0.8488,0.8533,0.85,0.8527,True
3,lb=1e-05_lc=1e-03_bs=16,S1,2,3,0.25,0.6945,0.9165,0.8137,0.8217,0.8027,0.8084,0.812,False
3,lb=1e-05_lc=1e-03_bs=16,S1,2,4,0.1581,0.9045,0.9554,0.8448,0.8409,0.8434,0.8417,0.8446,False
3,lb=1e-05_lc=1e-03_bs=16,S1,2,5,0.0797,1.3624,0.9765,0.8297,0.8281,0.8242,0.8258,0.8291,False
3,lb=1e-05_lc=1e-03_bs=16,S1,3,1,0.6083,0.4598,0.7447,0.8222,0.8181,0.8164,0.817,0.8225,False
3,lb=1e-05_lc=1e-03_bs=16,S1,3,2,0.4238,0.4291,0.845,0.8429,0.8445,0.8468,0.8419,0.8451,True
3,lb=1e-05_lc=1e-03_bs=16,S1,3,3,0.2659,0.5531,0.9132,0.8542,0.8523,0.8489,0.8478,0.8521,False
3,lb=1e-05_lc=1e-03_bs=16,S1,3,4,0.1615,0.6598,0.9541,0.8467,0.8455,0.8438,0.8432,0.848,False
3,lb=1e-05_lc=1e-03_bs=16,S1,3,5,0.0824,1.1433,0.9785,0.857,0.8545,0.8526,0.8531,0.8575,False
3,lb=1e-05_lc=1e-03_bs=16,S1,4,1,0.6303,0.4441,0.7381,0.841,0.8378,0.8396,0.8384,0.8415,True
3,lb=1e-05_lc=1e-03_bs=16,S1,4,2,0.4085,0.4494,0.8529,0.8457,0.8462,0.8395,0.8403,0.8444,False
3,lb=1e-05_lc=1e-03_bs=16,S1,4,3,0.2503,0.6095,0.9145,0.8523,0.8494,0.8517,0.8502,0.8527,False
3,lb=1e-05_lc=1e-03_bs=16,S1,4,4,0.1575,0.72,0.951,0.8335,0.8323,0.8316,0.8305,0.8344,False
3,lb=1e-05_lc=1e-03_bs=16,S1,5,1,0.6253,0.4749,0.7382,0.8222,0.8274,0.8183,0.8145,0.8204,False
3,lb=1e-05_lc=1e-03_bs=16,S1,5,2,0.4169,0.4737,0.8474,0.8457,0.8446,0.8458,0.8416,0.8458,True
3,lb=1e-05_lc=1e-03_bs=16,S1,5,3,0.2531,0.5383,0.9175,0.8504,0.846,0.8486,0.8465,0.8506,False
3,lb=1e-05_lc=1e-03_bs=16,S1,5,4,0.1599,0.7757,0.9537,0.8636,0.8597,0.8633,0.861,0.8639,False
3,lb=1e-05_lc=1e-03_bs=16,S1,5,5,0.0955,1.2713,0.9738,0.8241,0.8265,0.8168,0.8198,0.8237,False
4,lb=1e-05_lc=1e-03_bs=32,S1,1,1,0.6564,0.4783,0.7116,0.8167,0.8212,0.8196,0.8154,0.8184,False
4,lb=1e-05_lc=1e-03_bs=32,S1,1,2,0.4145,0.3744,0.8462,0.8647,0.8652,0.8678,0.8622,0.8653,True
4,lb=1e-05_lc=1e-03_bs=32,S1,1,3,0.2637,0.4589,0.9029,0.8449,0.8458,0.8412,0.8411,0.846,False
4,lb=1e-05_lc=1e-03_bs=32,S1,1,4,0.1584,0.4965,0.9483,0.8515,0.8472,0.8484,0.8477,0.8516,False
4,lb=1e-05_lc=1e-03_bs=32,S1,1,5,0.0935,0.7184,0.9683,0.8487,0.8453,0.8489,0.8464,0.8494,False
4,lb=1e-05_lc=1e-03_bs=32,S1,2,1,0.6429,0.4691,0.7206,0.8128,0.8132,0.8084,0.8103,0.8123,False
4,lb=1e-05_lc=1e-03_bs=32,S1,2,2,0.3989,0.4746,0.8528,0.8213,0.8315,0.8168,0.8139,0.8177,False
4,lb=1e-05_lc=1e-03_bs=32,S1,2,3,0.2605,0.4422,0.9066,0.8438,0.8417,0.8468,0.8416,0.8442,True
4,lb=1e-05_lc=1e-03_bs=32,S1,2,4,0.1603,0.6232,0.9446,0.809,0.8146,0.8035,0.8066,0.8087,False
4,lb=1e-05_lc=1e-03_bs=32,S1,2,5,0.1045,0.8357,0.9671,0.8467,0.8431,0.8461,0.8443,0.8469,False
4,lb=1e-05_lc=1e-03_bs=32,S1,2,6,0.053,1.2208,0.9842,0.8382,0.8373,0.834,0.8355,0.8379,False
4,lb=1e-05_lc=1e-03_bs=32,S1,3,1,0.6461,0.4214,0.7237,0.8316,0.8267,0.8301,0.8278,0.8318,False
4,lb=1e-05_lc=1e-03_bs=32,S1,3,2,0.3962,0.4036,0.8554,0.8457,0.8453,0.8503,0.8444,0.8468,True
4,lb=1e-05_lc=1e-03_bs=32,S1,3,3,0.2604,0.4875,0.9069,0.8448,0.8451,0.8491,0.8435,0.8463,False
4,lb=1e-05_lc=1e-03_bs=32,S1,3,4,0.1543,0.6899,0.9461,0.8448,0.8452,0.8378,0.8404,0.8449,False
4,lb=1e-05_lc=1e-03_bs=32,S1,3,5,0.086,0.7678,0.9723,0.8608,0.8567,0.8581,0.8573,0.8611,False
4,lb=1e-05_lc=1e-03_bs=32,S1,4,1,0.6332,0.4381,0.7344,0.842,0.8386,0.8403,0.8379,0.8413,False
4,lb=1e-05_lc=1e-03_bs=32,S1,4,2,0.4069,0.4366,0.8419,0.8438,0.8462,0.8383,0.8382,0.8418,True
