combo_id,combo_label,condition,fold,best_epoch,best_val_loss,val_accuracy,val_precision,val_recall,val_f1_macro,val_f1_weighted
1,lb=1e-05_lc=1e-04_bs=16,S1,1,2,0.3822,0.8553,0.8524,0.8523,0.8518,0.8558
1,lb=1e-05_lc=1e-04_bs=16,S1,2,1,0.4496,0.8175,0.8138,0.8167,0.815,0.8177
1,lb=1e-05_lc=1e-04_bs=16,S1,3,1,0.4101,0.842,0.8375,0.841,0.838,0.8423
1,lb=1e-05_lc=1e-04_bs=16,S1,4,2,0.3966,0.8467,0.8433,0.8476,0.8441,0.8473
1,lb=1e-05_lc=1e-04_bs=16,S1,5,2,0.3867,0.8532,0.8486,0.8512,0.8495,0.8539
2,lb=1e-05_lc=1e-04_bs=32,S1,1,2,0.3799,0.8609,0.857,0.8584,0.8575,0.8614
2,lb=1e-05_lc=1e-04_bs=32,S1,2,2,0.4087,0.8391,0.8349,0.8367,0.8354,0.8389
2,lb=1e-05_lc=1e-04_bs=32,S1,3,3,0.4122,0.8636,0.8592,0.8615,0.8596,0.8632
2,lb=1e-05_lc=1e-04_bs=32,S1,4,2,0.4456,0.8354,0.8344,0.8292,0.8303,0.8341
2,lb=1e-05_lc=1e-04_bs=32,S1,5,2,0.3914,0.8542,0.8504,0.8518,0.8501,0.8541
3,lb=1e-05_lc=1e-03_bs=16,S1,1,1,0.4166,0.8383,0.8348,0.8366,0.8337,0.8386
3,lb=1e-05_lc=1e-03_bs=16,S1,2,2,0.4208,0.8523,0.8488,0.8533,0.85,0.8527
3,lb=1e-05_lc=1e-03_bs=16,S1,3,2,0.4291,0.8429,0.8445,0.8468,0.8419,0.8451
3,lb=1e-05_lc=1e-03_bs=16,S1,4,1,0.4441,0.841,0.8378,0.8396,0.8384,0.8415
3,lb=1e-05_lc=1e-03_bs=16,S1,5,2,0.4737,0.8457,0.8446,0.8458,0.8416,0.8458
4,lb=1e-05_lc=1e-03_bs=32,S1,1,2,0.3744,0.8647,0.8652,0.8678,0.8622,0.8653
4,lb=1e-05_lc=1e-03_bs=32,S1,2,3,0.4422,0.8438,0.8417,0.8468,0.8416,0.8442
4,lb=1e-05_lc=1e-03_bs=32,S1,3,2,0.4036,0.8457,0.8453,0.8503,0.8444,0.8468
4,lb=1e-05_lc=1e-03_bs=32,S1,4,2,0.4366,0.8438,0.8462,0.8383,0.8382,0.8418
4,lb=1e-05_lc=1e-03_bs=32,S1,5,2,0.401,0.8429,0.8408,0.8411,0.84,0.8438
5,lb=2e-05_lc=1e-04_bs=16,S1,1,1,0.4484,0.8308,0.8334,0.822,0.8254,0.8292
5,lb=2e-05_lc=1e-04_bs=16,S1,2,1,0.4459,0.8128,0.8156,0.8184,0.8101,0.8125
5,lb=2e-05_lc=1e-04_bs=16,S1,3,2,0.4175,0.8504,0.8476,0.8459,0.8446,0.8488
5,lb=2e-05_lc=1e-04_bs=16,S1,4,2,0.4189,0.841,0.8365,0.8379,0.8362,0.8408
5,lb=2e-05_lc=1e-04_bs=16,S1,5,2,0.4011,0.8561,0.8514,0.8536,0.8523,0.8566
6,lb=2e-05_lc=1e-04_bs=32,S1,1,2,0.3853,0.8647,0.8627,0.8607,0.8599,0.8641
6,lb=2e-05_lc=1e-04_bs=32,S1,2,2,0.4205,0.842,0.8388,0.8412,0.8394,0.8413
6,lb=2e-05_lc=1e-04_bs=32,S1,3,2,0.4078,0.8495,0.8465,0.8508,0.8473,0.8505
6,lb=2e-05_lc=1e-04_bs=32,S1,4,2,0.4054,0.8457,0.8415,0.8444,0.8425,0.8461
6,lb=2e-05_lc=1e-04_bs=32,S1,5,2,0.3812,0.8504,0.8469,0.85,0.8474,0.8517
7,lb=2e-05_lc=1e-03_bs=16,S1,1,2,0.5129,0.8412,0.8399,0.8375,0.8352,0.8394
7,lb=2e-05_lc=1e-03_bs=16,S1,2,2,0.493,0.8307,0.8325,0.8367,0.8299,0.8319
7,lb=2e-05_lc=1e-03_bs=16,S1,3,2,0.4424,0.8325,0.839,0.835,0.8314,0.8357
7,lb=2e-05_lc=1e-03_bs=16,S1,4,2,0.496,0.8382,0.8369,0.8406,0.8367,0.8394
7,lb=2e-05_lc=1e-03_bs=16,S1,5,1,0.4187,0.842,0.8378,0.8411,0.8383,0.8426
8,lb=2e-05_lc=1e-03_bs=32,S1,1,2,0.3964,0.8553,0.8524,0.8562,0.8523,0.8558
8,lb=2e-05_lc=1e-03_bs=32,S1,2,2,0.4816,0.8429,0.8444,0.8474,0.8429,0.844
8,lb=2e-05_lc=1e-03_bs=32,S1,3,2,0.4008,0.8589,0.8542,0.8565,0.8546,0.8585
