combo_id,lr_bert,lr_cnn,batch_size,weight_decay,combo_label,accuracy,precision,recall,f1_macro,f1_weighted,accuracy_std,precision_std,recall_std,f1_macro_std,f1_weighted_std
1,1e-05,0.0001,16,0.01,lb=1e-05_lc=1e-04_bs=16,0.8429,0.8391,0.8418,0.8397,0.8434,0.0136,0.0136,0.0131,0.0132,0.0137
2,1e-05,0.0001,32,0.01,lb=1e-05_lc=1e-04_bs=32,0.8506,0.8472,0.8475,0.8466,0.8503,0.0114,0.0106,0.0125,0.0118,0.0118
3,1e-05,0.001,16,0.01,lb=1e-05_lc=1e-03_bs=16,0.844,0.8421,0.8444,0.8411,0.8447,0.0048,0.0051,0.0058,0.0053,0.0047
4,1e-05,0.001,32,0.01,lb=1e-05_lc=1e-03_bs=32,0.8482,0.8478,0.8489,0.8453,0.8484,0.0083,0.0089,0.0104,0.0087,0.0086
5,2e-05,0.0001,16,0.01,lb=2e-05_lc=1e-04_bs=16,0.8382,0.8369,0.8356,0.8337,0.8376,0.0153,0.0126,0.0135,0.0148,0.0155
6,2e-05,0.0001,32,0.01,lb=2e-05_lc=1e-04_bs=32,0.8505,0.8473,0.8494,0.8473,0.8507,0.0077,0.0083,0.0067,0.007,0.0076
7,2e-05,0.001,16,0.01,lb=2e-05_lc=1e-03_bs=16,0.8369,0.8372,0.8382,0.8343,0.8378,0.0046,0.0026,0.0023,0.0032,0.0037
8,2e-05,0.001,32,0.01,lb=2e-05_lc=1e-03_bs=32,0.8459,0.8432,0.8448,0.8425,0.8461,0.0095,0.0094,0.011,0.0099,0.0095
9,3e-05,0.0001,16,0.01,lb=3e-05_lc=1e-04_bs=16,0.8337,0.8351,0.8323,0.83,0.8339,0.0131,0.0102,0.0148,0.0132,0.0136
10,3e-05,0.0001,32,0.01,lb=3e-05_lc=1e-04_bs=32,0.8529,0.8513,0.8515,0.8492,0.8525,0.0044,0.0036,0.0048,0.0041,0.0044
11,3e-05,0.001,16,0.01,lb=3e-05_lc=1e-03_bs=16,0.8403,0.8409,0.8374,0.8358,0.8398,0.0099,0.0078,0.0122,0.0103,0.0103
12,3e-05,0.001,32,0.01,lb=3e-05_lc=1e-03_bs=32,0.8399,0.837,0.8374,0.8363,0.84,0.0207,0.0202,0.0216,0.0208,0.0211
