combo_id,combo_label,condition,fold,best_epoch,best_val_loss,val_accuracy,val_precision,val_recall,val_f1_macro,val_f1_weighted
1,"ng=[1, 2, 3]_f=128_dr=0.3_relu",S1,1,2,0.4233,0.8374,0.8343,0.838,0.8356,0.8379
1,"ng=[1, 2, 3]_f=128_dr=0.3_relu",S1,2,2,0.3977,0.8617,0.858,0.8606,0.859,0.8619
1,"ng=[1, 2, 3]_f=128_dr=0.3_relu",S1,3,2,0.4713,0.8429,0.8461,0.8405,0.8375,0.8425
1,"ng=[1, 2, 3]_f=128_dr=0.3_relu",S1,4,2,0.4064,0.8523,0.8496,0.8544,0.8505,0.8531
1,"ng=[1, 2, 3]_f=128_dr=0.3_relu",S1,5,2,0.4459,0.8448,0.8423,0.8387,0.839,0.843
2,"ng=[1, 2, 3]_f=128_dr=0.3_gelu",S1,1,1,0.4412,0.828,0.8285,0.8302,0.825,0.8276
2,"ng=[1, 2, 3]_f=128_dr=0.3_gelu",S1,2,2,0.3866,0.8589,0.8566,0.8547,0.8545,0.8581
2,"ng=[1, 2, 3]_f=128_dr=0.3_gelu",S1,3,1,0.4516,0.826,0.8253,0.8281,0.8231,0.8276
2,"ng=[1, 2, 3]_f=128_dr=0.3_gelu",S1,4,1,0.4404,0.8307,0.8272,0.8294,0.8268,0.8306
2,"ng=[1, 2, 3]_f=128_dr=0.3_gelu",S1,5,1,0.4445,0.8363,0.8304,0.8294,0.8298,0.8361
3,"ng=[1, 2, 3]_f=128_dr=0.3_elu",S1,1,1,0.4637,0.8252,0.8249,0.8283,0.8226,0.8255
3,"ng=[1, 2, 3]_f=128_dr=0.3_elu",S1,2,1,0.3906,0.8561,0.8547,0.8603,0.8548,0.8568
3,"ng=[1, 2, 3]_f=128_dr=0.3_elu",S1,3,2,0.4058,0.8589,0.8546,0.8575,0.8556,0.8593
3,"ng=[1, 2, 3]_f=128_dr=0.3_elu",S1,4,2,0.4252,0.8448,0.847,0.8379,0.8412,0.8439
3,"ng=[1, 2, 3]_f=128_dr=0.3_elu",S1,5,2,0.4092,0.8542,0.8496,0.8527,0.8501,0.8542
4,"ng=[1, 2, 3]_f=128_dr=0.5_relu",S1,1,2,0.4582,0.8421,0.8404,0.8416,0.8388,0.8417
4,"ng=[1, 2, 3]_f=128_dr=0.5_relu",S1,2,2,0.4054,0.8504,0.847,0.846,0.8455,0.8494
4,"ng=[1, 2, 3]_f=128_dr=0.5_relu",S1,3,2,0.4341,0.842,0.8375,0.8371,0.837,0.8415
4,"ng=[1, 2, 3]_f=128_dr=0.5_relu",S1,4,2,0.4221,0.8429,0.8423,0.8421,0.8381,0.8418
4,"ng=[1, 2, 3]_f=128_dr=0.5_relu",S1,5,2,0.4748,0.8213,0.8195,0.8127,0.8152,0.8203
5,"ng=[1, 2, 3]_f=128_dr=0.5_gelu",S1,1,2,0.438,0.8383,0.8383,0.8429,0.8369,0.8394
5,"ng=[1, 2, 3]_f=128_dr=0.5_gelu",S1,2,2,0.3824,0.8579,0.8564,0.8613,0.8561,0.859
5,"ng=[1, 2, 3]_f=128_dr=0.5_gelu",S1,3,2,0.4845,0.8335,0.8303,0.8294,0.8298,0.8332
5,"ng=[1, 2, 3]_f=128_dr=0.5_gelu",S1,4,2,0.4229,0.8401,0.8363,0.8408,0.8373,0.8403
5,"ng=[1, 2, 3]_f=128_dr=0.5_gelu",S1,5,2,0.4014,0.8514,0.8481,0.8527,0.8491,0.852
6,"ng=[1, 2, 3]_f=128_dr=0.5_elu",S1,1,2,0.4527,0.8336,0.8319,0.829,0.8303,0.8333
6,"ng=[1, 2, 3]_f=128_dr=0.5_elu",S1,2,1,0.4072,0.8391,0.8383,0.843,0.838,0.8403
6,"ng=[1, 2, 3]_f=128_dr=0.5_elu",S1,3,2,0.4487,0.8363,0.8326,0.8326,0.8315,0.8362
6,"ng=[1, 2, 3]_f=128_dr=0.5_elu",S1,4,2,0.4136,0.841,0.8416,0.8439,0.8379,0.8418
6,"ng=[1, 2, 3]_f=128_dr=0.5_elu",S1,5,1,0.449,0.8297,0.8306,0.8196,0.8211,0.8262
7,"ng=[1, 2, 3]_f=256_dr=0.3_relu",S1,1,2,0.4658,0.8252,0.8234,0.8222,0.8227,0.8254
7,"ng=[1, 2, 3]_f=256_dr=0.3_relu",S1,2,2,0.4065,0.8523,0.8494,0.8507,0.8499,0.8527
7,"ng=[1, 2, 3]_f=256_dr=0.3_relu",S1,3,2,0.4332,0.8373,0.8322,0.8338,0.8322,0.8372
7,"ng=[1, 2, 3]_f=256_dr=0.3_relu",S1,4,2,0.4083,0.8504,0.8497,0.8497,0.8463,0.8496
7,"ng=[1, 2, 3]_f=256_dr=0.3_relu",S1,5,2,0.4182,0.841,0.8406,0.8452,0.8393,0.8422
8,"ng=[1, 2, 3]_f=256_dr=0.3_gelu",S1,1,2,0.4751,0.8261,0.8271,0.8187,0.8202,0.8238
8,"ng=[1, 2, 3]_f=256_dr=0.3_gelu",S1,2,2,0.402,0.8561,0.855,0.8525,0.8527,0.8566
8,"ng=[1, 2, 3]_f=256_dr=0.3_gelu",S1,3,3,0.4416,0.8457,0.8429,0.8469,0.8428,0.8463
8,"ng=[1, 2, 3]_f=256_dr=0.3_gelu",S1,4,2,0.4095,0.8429,0.842,0.8424,0.8383,0.8417
8,"ng=[1, 2, 3]_f=256_dr=0.3_gelu",S1,5,2,0.4115,0.842,0.8374,0.8392,0.8372,0.8416
9,"ng=[1, 2, 3]_f=256_dr=0.3_elu",S1,1,1,0.4261,0.8355,0.8339,0.8373,0.8325,0.8355
9,"ng=[1, 2, 3]_f=256_dr=0.3_elu",S1,2,2,0.3876,0.8532,0.8522,0.8569,0.8512,0.8538
9,"ng=[1, 2, 3]_f=256_dr=0.3_elu",S1,3,1,0.4348,0.8344,0.8331,0.8298,0.8271,0.833
9,"ng=[1, 2, 3]_f=256_dr=0.3_elu",S1,4,2,0.4406,0.8213,0.8254,0.8278,0.8204,0.8231
9,"ng=[1, 2, 3]_f=256_dr=0.3_elu",S1,5,1,0.4192,0.841,0.8354,0.8351,0.8346,0.84
10,"ng=[1, 2, 3]_f=256_dr=0.5_relu",S1,1,2,0.4328,0.8393,0.8353,0.8371,0.836,0.8393
10,"ng=[1, 2, 3]_f=256_dr=0.5_relu",S1,2,2,0.399,0.8532,0.8503,0.852,0.8509,0.8532
10,"ng=[1, 2, 3]_f=256_dr=0.5_relu",S1,3,2,0.4209,0.8561,0.8525,0.8549,0.8523,0.8567
10,"ng=[1, 2, 3]_f=256_dr=0.5_relu",S1,4,2,0.4236,0.8467,0.8448,0.8433,0.8436,0.8461
10,"ng=[1, 2, 3]_f=256_dr=0.5_relu",S1,5,1,0.429,0.8344,0.8317,0.836,0.832,0.8355
11,"ng=[1, 2, 3]_f=256_dr=0.5_gelu",S1,1,2,0.4425,0.8402,0.8385,0.8389,0.8365,0.84
11,"ng=[1, 2, 3]_f=256_dr=0.5_gelu",S1,2,2,0.421,0.8495,0.8521,0.8406,0.8435,0.8473
11,"ng=[1, 2, 3]_f=256_dr=0.5_gelu",S1,3,1,0.4602,0.825,0.8199,0.8177,0.8181,0.8237
11,"ng=[1, 2, 3]_f=256_dr=0.5_gelu",S1,4,2,0.4214,0.8363,0.8383,0.8393,0.8348,0.8387
11,"ng=[1, 2, 3]_f=256_dr=0.5_gelu",S1,5,2,0.4163,0.8476,0.8441,0.843,0.8422,0.8464
12,"ng=[1, 2, 3]_f=256_dr=0.5_elu",S1,1,2,0.4301,0.843,0.8405,0.8422,0.8399,0.8427
12,"ng=[1, 2, 3]_f=256_dr=0.5_elu",S1,2,2,0.4041,0.8495,0.8459,0.8489,0.8467,0.8494
12,"ng=[1, 2, 3]_f=256_dr=0.5_elu",S1,3,1,0.4449,0.8269,0.8279,0.8309,0.8252,0.8289
12,"ng=[1, 2, 3]_f=256_dr=0.5_elu",S1,4,2,0.4414,0.8241,0.8271,0.8282,0.8217,0.8246
12,"ng=[1, 2, 3]_f=256_dr=0.5_elu",S1,5,2,0.4492,0.842,0.8399,0.836,0.8372,0.841
