combo_id,combo_label,condition,fold,epoch,train_loss,val_loss,train_f1,val_accuracy,val_precision,val_recall,val_f1_macro,val_f1_weighted,is_best_epoch
S1,best_S1,S1,1,1,0.7795,0.4476,0.6377,0.826,0.8233,0.8226,0.8227,0.8266,False
S1,best_S1,S1,1,2,0.4119,0.3948,0.8401,0.8457,0.8457,0.8501,0.844,0.847,True
S1,best_S1,S1,1,3,0.2817,0.3981,0.8996,0.8617,0.8586,0.8579,0.8572,0.8603,False
S1,best_S1,S1,1,4,0.1776,0.5064,0.9416,0.8523,0.8503,0.8455,0.845,0.8493,False
S1,best_S1,S1,1,5,0.1185,0.5721,0.962,0.857,0.8529,0.855,0.8536,0.8566,False
S1,best_S1,S1,2,1,0.7757,0.4302,0.6323,0.8335,0.8318,0.8277,0.829,0.8323,False
S1,best_S1,S1,2,2,0.4097,0.3829,0.8423,0.8551,0.8543,0.8551,0.8507,0.8546,True
S1,best_S1,S1,2,3,0.275,0.4056,0.8985,0.8504,0.8459,0.8467,0.8463,0.8504,False
S1,best_S1,S1,2,4,0.1859,0.4627,0.9324,0.8504,0.8472,0.8474,0.8471,0.851,False
S1,best_S1,S1,2,5,0.1118,0.564,0.964,0.8495,0.8464,0.8455,0.8458,0.8497,False
S1,best_S1,S1,3,1,0.7704,0.4203,0.6421,0.8325,0.8288,0.8258,0.8257,0.8312,False
S1,best_S1,S1,3,2,0.4143,0.3594,0.8391,0.8551,0.8549,0.8584,0.8533,0.857,True
S1,best_S1,S1,3,3,0.2854,0.3763,0.8974,0.8627,0.859,0.8624,0.8587,0.863,False
S1,best_S1,S1,3,4,0.198,0.4219,0.9293,0.8579,0.8561,0.8582,0.8554,0.8595,False
S1,best_S1,S1,3,5,0.1155,0.5408,0.96,0.8608,0.8559,0.8575,0.8563,0.8609,False
S1,best_S1,S1,4,1,0.7649,0.4626,0.647,0.8107,0.8099,0.8038,0.803,0.8074,False
S1,best_S1,S1,4,2,0.3995,0.4457,0.8413,0.8315,0.8316,0.825,0.8266,0.8298,True
S1,best_S1,S1,4,3,0.271,0.4668,0.9049,0.8211,0.818,0.8192,0.8185,0.8215,False
S1,best_S1,S1,4,4,0.1781,0.5111,0.9373,0.839,0.8373,0.8425,0.8377,0.8398,False
S1,best_S1,S1,4,5,0.1175,0.6703,0.9606,0.8352,0.8326,0.8307,0.8312,0.8344,False
S1,best_S1,S1,5,1,0.7551,0.4635,0.6608,0.822,0.8173,0.8193,0.8181,0.8225,False
S1,best_S1,S1,5,2,0.3861,0.5296,0.8471,0.8032,0.8188,0.8089,0.8032,0.8069,False
S1,best_S1,S1,5,3,0.277,0.4582,0.9042,0.8446,0.8402,0.8419,0.8407,0.8447,True
S1,best_S1,S1,5,4,0.183,0.5901,0.9365,0.8249,0.8214,0.8171,0.8188,0.8242,False
S1,best_S1,S1,5,5,0.1081,0.6653,0.963,0.8305,0.8261,0.8276,0.8267,0.8311,False
S1,best_S1,S1,5,6,0.063,0.8814,0.9787,0.8145,0.8131,0.8088,0.8099,0.8149,False
S2,best_S2,S2,1,1,0.78,0.4337,0.6389,0.8166,0.811,0.8093,0.8093,0.8148,False
S2,best_S2,S2,1,2,0.4222,0.427,0.8417,0.8401,0.8407,0.8416,0.8356,0.8391,False
S2,best_S2,S2,1,3,0.2973,0.3879,0.8906,0.8589,0.8549,0.8595,0.8561,0.859,True
S2,best_S2,S2,1,4,0.1892,0.4875,0.9409,0.8401,0.8358,0.8353,0.8346,0.8385,False
S2,best_S2,S2,1,5,0.1142,0.5274,0.9641,0.8579,0.8543,0.8582,0.8558,0.8581,False
