combo_id,combo_label,condition,fold,best_epoch,best_val_loss,val_accuracy,val_precision,val_recall,val_f1_macro,val_f1_weighted
1,lb=1e-05_lc=1e-04_bs=16,S1,1,2,0.3991,0.8485,0.8452,0.849,0.8448,0.8483
1,lb=1e-05_lc=1e-04_bs=16,S1,2,2,0.3877,0.8514,0.8491,0.8541,0.8497,0.8522
1,lb=1e-05_lc=1e-04_bs=16,S1,3,2,0.3654,0.8768,0.8758,0.8708,0.8722,0.8757
1,lb=1e-05_lc=1e-04_bs=16,S1,4,1,0.4415,0.8286,0.8271,0.8315,0.827,0.8299
1,lb=1e-05_lc=1e-04_bs=16,S1,5,1,0.4786,0.823,0.8188,0.817,0.8161,0.8216
2,lb=1e-05_lc=1e-04_bs=32,S1,1,2,0.3836,0.8476,0.845,0.8495,0.845,0.8487
2,lb=1e-05_lc=1e-04_bs=32,S1,2,2,0.3597,0.8664,0.864,0.8687,0.8641,0.8675
2,lb=1e-05_lc=1e-04_bs=32,S1,3,2,0.3514,0.8608,0.8574,0.8611,0.8583,0.8617
2,lb=1e-05_lc=1e-04_bs=32,S1,4,2,0.4202,0.8286,0.8255,0.8255,0.8255,0.8287
2,lb=1e-05_lc=1e-04_bs=32,S1,5,2,0.451,0.8286,0.8253,0.8281,0.8262,0.8293
3,lb=1e-05_lc=1e-03_bs=16,S1,1,2,0.4257,0.8532,0.8513,0.856,0.8511,0.8544
3,lb=1e-05_lc=1e-03_bs=16,S1,2,2,0.4463,0.8382,0.84,0.8298,0.8302,0.8346
3,lb=1e-05_lc=1e-03_bs=16,S1,3,2,0.37,0.8561,0.8544,0.8533,0.8529,0.8564
3,lb=1e-05_lc=1e-03_bs=16,S1,4,1,0.4638,0.8136,0.8109,0.8097,0.8098,0.8143
3,lb=1e-05_lc=1e-03_bs=16,S1,5,1,0.5229,0.8117,0.8121,0.8093,0.805,0.8107
4,lb=1e-05_lc=1e-03_bs=32,S1,1,1,0.4407,0.842,0.8371,0.8378,0.8358,0.8405
4,lb=1e-05_lc=1e-03_bs=32,S1,2,2,0.3821,0.8514,0.8487,0.853,0.8482,0.8513
4,lb=1e-05_lc=1e-03_bs=32,S1,3,2,0.4368,0.8598,0.8566,0.853,0.8539,0.8586
4,lb=1e-05_lc=1e-03_bs=32,S1,4,2,0.4239,0.8249,0.8234,0.8274,0.8234,0.8261
4,lb=1e-05_lc=1e-03_bs=32,S1,5,2,0.4602,0.8267,0.8242,0.8215,0.8224,0.8267
5,lb=2e-05_lc=1e-04_bs=16,S1,1,2,0.4149,0.8476,0.8476,0.8479,0.8452,0.85
5,lb=2e-05_lc=1e-04_bs=16,S1,2,2,0.371,0.8645,0.8622,0.8645,0.861,0.8642
5,lb=2e-05_lc=1e-04_bs=16,S1,3,1,0.4082,0.8438,0.8498,0.8523,0.8433,0.8451
5,lb=2e-05_lc=1e-04_bs=16,S1,4,1,0.4405,0.8211,0.8175,0.8191,0.8169,0.8203
5,lb=2e-05_lc=1e-04_bs=16,S1,5,2,0.4417,0.8362,0.8306,0.8321,0.8305,0.836
6,lb=2e-05_lc=1e-04_bs=32,S1,1,2,0.408,0.8391,0.8365,0.8353,0.8358,0.8389
6,lb=2e-05_lc=1e-04_bs=32,S1,2,1,0.3968,0.8457,0.843,0.8451,0.8414,0.8451
6,lb=2e-05_lc=1e-04_bs=32,S1,3,2,0.3697,0.8589,0.8584,0.8564,0.8559,0.8594
6,lb=2e-05_lc=1e-04_bs=32,S1,4,1,0.4221,0.8324,0.8286,0.832,0.8296,0.8324
6,lb=2e-05_lc=1e-04_bs=32,S1,5,2,0.4676,0.8202,0.8241,0.8268,0.8192,0.8218
7,lb=2e-05_lc=1e-03_bs=16,S1,1,1,0.3986,0.8438,0.8405,0.8449,0.8409,0.8448
7,lb=2e-05_lc=1e-03_bs=16,S1,2,1,0.4246,0.8467,0.8436,0.8463,0.8446,0.8472
7,lb=2e-05_lc=1e-03_bs=16,S1,3,2,0.3915,0.8655,0.867,0.8583,0.857,0.8627
7,lb=2e-05_lc=1e-03_bs=16,S1,4,2,0.4547,0.8211,0.8235,0.8273,0.8199,0.8223
7,lb=2e-05_lc=1e-03_bs=16,S1,5,1,0.5287,0.8089,0.8145,0.7939,0.7937,0.8012
8,lb=2e-05_lc=1e-03_bs=32,S1,1,2,0.4351,0.8457,0.8484,0.852,0.8442,0.8469
8,lb=2e-05_lc=1e-03_bs=32,S1,2,2,0.4117,0.8401,0.8409,0.8442,0.839,0.8419
8,lb=2e-05_lc=1e-03_bs=32,S1,3,2,0.4065,0.8532,0.8512,0.85,0.8495,0.854
8,lb=2e-05_lc=1e-03_bs=32,S1,4,2,0.4706,0.8154,0.8197,0.8191,0.8146,0.8178
8,lb=2e-05_lc=1e-03_bs=32,S1,5,1,0.448,0.8249,0.8212,0.8235,0.8215,0.8261
9,lb=3e-05_lc=1e-04_bs=16,S1,1,2,0.387,0.8589,0.8547,0.8578,0.855,0.8583
9,lb=3e-05_lc=1e-04_bs=16,S1,2,2,0.4319,0.8391,0.8465,0.846,0.8393,0.8418
