combo_id,lr_bert,lr_cnn,batch_size,weight_decay,combo_label,accuracy,precision,recall,f1_macro,f1_weighted,accuracy_std,precision_std,recall_std,f1_macro_std,f1_weighted_std
1,1e-05,0.0001,16,0.01,lb=1e-05_lc=1e-04_bs=16,0.8457,0.8432,0.8445,0.842,0.8455,0.0191,0.0198,0.0186,0.0194,0.0189
2,1e-05,0.0001,32,0.01,lb=1e-05_lc=1e-04_bs=32,0.8464,0.8434,0.8466,0.8438,0.8472,0.0158,0.0159,0.0173,0.0159,0.016
3,1e-05,0.001,16,0.01,lb=1e-05_lc=1e-03_bs=16,0.8346,0.8337,0.8316,0.8298,0.8341,0.0189,0.0188,0.0202,0.02,0.0192
4,1e-05,0.001,32,0.01,lb=1e-05_lc=1e-03_bs=32,0.841,0.838,0.8385,0.8367,0.8406,0.0136,0.0132,0.0129,0.0127,0.013
5,2e-05,0.0001,16,0.01,lb=2e-05_lc=1e-04_bs=16,0.8426,0.8415,0.8432,0.8394,0.8431,0.0142,0.0157,0.0159,0.0148,0.0146
6,2e-05,0.0001,32,0.01,lb=2e-05_lc=1e-04_bs=32,0.8393,0.8381,0.8391,0.8364,0.8395,0.0129,0.012,0.0105,0.0122,0.0126
7,2e-05,0.001,16,0.01,lb=2e-05_lc=1e-03_bs=16,0.8372,0.8378,0.8341,0.8312,0.8356,0.02,0.0181,0.0224,0.0222,0.0215
8,2e-05,0.001,32,0.01,lb=2e-05_lc=1e-03_bs=32,0.8359,0.8363,0.8378,0.8338,0.8373,0.0138,0.0134,0.0138,0.0134,0.0134
9,3e-05,0.0001,16,0.01,lb=3e-05_lc=1e-04_bs=16,0.8389,0.8384,0.8386,0.8353,0.839,0.0119,0.0115,0.0137,0.0122,0.0118
10,3e-05,0.0001,32,0.01,lb=3e-05_lc=1e-04_bs=32,0.8428,0.8402,0.8412,0.8389,0.8424,0.0134,0.0134,0.0154,0.0134,0.0135
11,3e-05,0.001,16,0.01,lb=3e-05_lc=1e-03_bs=16,0.8257,0.8265,0.8261,0.8214,0.8253,0.0169,0.014,0.0154,0.0165,0.0163
12,3e-05,0.001,32,0.01,lb=3e-05_lc=1e-03_bs=32,0.8257,0.8297,0.8284,0.823,0.827,0.0315,0.0246,0.0307,0.0315,0.0308
