combo_id,combo_label,condition,fold,epoch,train_loss,val_loss,val_accuracy,val_precision,val_recall,val_f1_macro,val_f1_weighted,is_best_epoch
1,lb=1e-05_lc=1e-04_bs=16,S1,1,1,0.6901,0.4919,0.8128,0.8292,0.8233,0.8141,0.816,False
1,lb=1e-05_lc=1e-04_bs=16,S1,1,2,0.3857,0.3991,0.8485,0.8452,0.849,0.8448,0.8483,True
1,lb=1e-05_lc=1e-04_bs=16,S1,1,3,0.2547,0.5201,0.857,0.8554,0.8608,0.8552,0.8578,False
1,lb=1e-05_lc=1e-04_bs=16,S1,1,4,0.1559,0.5789,0.8617,0.8577,0.8616,0.8589,0.8623,False
1,lb=1e-05_lc=1e-04_bs=16,S1,1,5,0.0882,0.8086,0.8598,0.856,0.8602,0.8573,0.8602,False
1,lb=1e-05_lc=1e-04_bs=16,S1,2,1,0.6705,0.4056,0.8476,0.8426,0.8442,0.8433,0.8476,False
1,lb=1e-05_lc=1e-04_bs=16,S1,2,2,0.3922,0.3877,0.8514,0.8491,0.8541,0.8497,0.8522,True
1,lb=1e-05_lc=1e-04_bs=16,S1,2,3,0.267,0.4117,0.8692,0.866,0.8709,0.8667,0.8698,False
1,lb=1e-05_lc=1e-04_bs=16,S1,2,4,0.1686,0.581,0.8514,0.8479,0.8468,0.8473,0.8511,False
1,lb=1e-05_lc=1e-04_bs=16,S1,2,5,0.0833,0.8021,0.8448,0.8408,0.8398,0.8398,0.8439,False
1,lb=1e-05_lc=1e-04_bs=16,S1,3,1,0.6971,0.4033,0.8401,0.8372,0.8388,0.8357,0.8402,False
1,lb=1e-05_lc=1e-04_bs=16,S1,3,2,0.4062,0.3654,0.8768,0.8758,0.8708,0.8722,0.8757,True
1,lb=1e-05_lc=1e-04_bs=16,S1,3,3,0.2573,0.424,0.8627,0.8586,0.8604,0.8584,0.8623,False
1,lb=1e-05_lc=1e-04_bs=16,S1,3,4,0.1543,0.594,0.8532,0.8516,0.8516,0.8502,0.8542,False
1,lb=1e-05_lc=1e-04_bs=16,S1,3,5,0.0798,0.7549,0.8589,0.8563,0.8532,0.854,0.8581,False
1,lb=1e-05_lc=1e-04_bs=16,S1,4,1,0.6883,0.4415,0.8286,0.8271,0.8315,0.827,0.8299,True
1,lb=1e-05_lc=1e-04_bs=16,S1,4,2,0.3823,0.4739,0.822,0.8182,0.8201,0.8188,0.8229,False
1,lb=1e-05_lc=1e-04_bs=16,S1,4,3,0.2362,0.529,0.8249,0.82,0.8214,0.8204,0.8245,False
1,lb=1e-05_lc=1e-04_bs=16,S1,4,4,0.1489,0.7549,0.8239,0.82,0.8187,0.8181,0.8224,False
1,lb=1e-05_lc=1e-04_bs=16,S1,5,1,0.6685,0.4786,0.823,0.8188,0.817,0.8161,0.8216,True
1,lb=1e-05_lc=1e-04_bs=16,S1,5,2,0.3766,0.5253,0.8192,0.8171,0.8123,0.814,0.819,False
1,lb=1e-05_lc=1e-04_bs=16,S1,5,3,0.2378,0.5492,0.8305,0.8256,0.8275,0.8263,0.8306,False
1,lb=1e-05_lc=1e-04_bs=16,S1,5,4,0.1367,0.7795,0.8154,0.8132,0.8123,0.8114,0.8169,False
2,lb=1e-05_lc=1e-04_bs=32,S1,1,1,0.7263,0.4534,0.8222,0.819,0.8155,0.8167,0.8211,False
2,lb=1e-05_lc=1e-04_bs=32,S1,1,2,0.3991,0.3836,0.8476,0.845,0.8495,0.845,0.8487,True
2,lb=1e-05_lc=1e-04_bs=32,S1,1,3,0.2761,0.4267,0.8504,0.8491,0.8525,0.8491,0.8517,False
2,lb=1e-05_lc=1e-04_bs=32,S1,1,4,0.1722,0.4609,0.8523,0.8484,0.8478,0.8476,0.8513,False
2,lb=1e-05_lc=1e-04_bs=32,S1,1,5,0.1121,0.5766,0.8438,0.8412,0.839,0.84,0.8436,False
2,lb=1e-05_lc=1e-04_bs=32,S1,2,1,0.7308,0.4062,0.8429,0.8432,0.8478,0.8419,0.8442,False
2,lb=1e-05_lc=1e-04_bs=32,S1,2,2,0.3848,0.3597,0.8664,0.864,0.8687,0.8641,0.8675,True
2,lb=1e-05_lc=1e-04_bs=32,S1,2,3,0.274,0.3643,0.8608,0.8565,0.8584,0.8558,0.8601,False
2,lb=1e-05_lc=1e-04_bs=32,S1,2,4,0.1895,0.4471,0.8561,0.8524,0.8531,0.8524,0.8568,False
2,lb=1e-05_lc=1e-04_bs=32,S1,2,5,0.1142,0.5652,0.8504,0.8483,0.8436,0.8449,0.8488,False
2,lb=1e-05_lc=1e-04_bs=32,S1,3,1,0.7484,0.4132,0.8429,0.8382,0.8378,0.8379,0.8426,False
2,lb=1e-05_lc=1e-04_bs=32,S1,3,2,0.4056,0.3514,0.8608,0.8574,0.8611,0.8583,0.8617,True
2,lb=1e-05_lc=1e-04_bs=32,S1,3,3,0.275,0.3683,0.8664,0.8625,0.8616,0.8611,0.8656,False
2,lb=1e-05_lc=1e-04_bs=32,S1,3,4,0.1777,0.4526,0.8561,0.8525,0.8488,0.8501,0.8551,False
2,lb=1e-05_lc=1e-04_bs=32,S1,3,5,0.1038,0.5037,0.8579,0.856,0.8571,0.8552,0.8591,False
2,lb=1e-05_lc=1e-04_bs=32,S1,4,1,0.7309,0.4324,0.8202,0.8159,0.8184,0.8169,0.8203,False
2,lb=1e-05_lc=1e-04_bs=32,S1,4,2,0.3896,0.4202,0.8286,0.8255,0.8255,0.8255,0.8287,True
2,lb=1e-05_lc=1e-04_bs=32,S1,4,3,0.2659,0.4748,0.8343,0.8316,0.8283,0.8287,0.8326,False
2,lb=1e-05_lc=1e-04_bs=32,S1,4,4,0.1685,0.6387,0.8296,0.8313,0.8214,0.8222,0.8265,False
2,lb=1e-05_lc=1e-04_bs=32,S1,4,5,0.1074,0.8073,0.8192,0.8253,0.8077,0.8115,0.8159,False
2,lb=1e-05_lc=1e-04_bs=32,S1,5,1,0.7291,0.5098,0.8013,0.8012,0.796,0.7968,0.8011,False
2,lb=1e-05_lc=1e-04_bs=32,S1,5,2,0.3947,0.451,0.8286,0.8253,0.8281,0.8262,0.8293,True
2,lb=1e-05_lc=1e-04_bs=32,S1,5,3,0.2589,0.4653,0.8324,0.8289,0.8295,0.829,0.8329,False
2,lb=1e-05_lc=1e-04_bs=32,S1,5,4,0.1686,0.607,0.8239,0.8202,0.8177,0.8188,0.8236,False
2,lb=1e-05_lc=1e-04_bs=32,S1,5,5,0.1027,0.7331,0.8296,0.8285,0.8209,0.8236,0.8281,False
3,lb=1e-05_lc=1e-03_bs=16,S1,1,1,0.6106,0.5293,0.8307,0.8292,0.8336,0.8273,0.8306,False
3,lb=1e-05_lc=1e-03_bs=16,S1,1,2,0.4261,0.4257,0.8532,0.8513,0.856,0.8511,0.8544,True
3,lb=1e-05_lc=1e-03_bs=16,S1,1,3,0.2597,0.4427,0.8598,0.8557,0.8585,0.8567,0.8604,False
3,lb=1e-05_lc=1e-03_bs=16,S1,1,4,0.1526,0.8288,0.842,0.8395,0.8369,0.838,0.8419,False
