combo_id,combo_label,condition,fold,best_epoch,best_val_loss,val_accuracy,val_precision,val_recall,val_f1_macro,val_f1_weighted
1,"ng=[1, 2, 3]_f=128_dr=0.3_relu",S1,1,2,0.3728,0.8523,0.8516,0.8562,0.8508,0.8536
1,"ng=[1, 2, 3]_f=128_dr=0.3_relu",S1,2,2,0.3787,0.857,0.8529,0.8545,0.8535,0.8566
1,"ng=[1, 2, 3]_f=128_dr=0.3_relu",S1,3,3,0.3838,0.8579,0.8541,0.8578,0.8553,0.8585
1,"ng=[1, 2, 3]_f=128_dr=0.3_relu",S1,4,2,0.4208,0.8333,0.8299,0.8315,0.8287,0.8323
1,"ng=[1, 2, 3]_f=128_dr=0.3_relu",S1,5,2,0.4356,0.8418,0.8372,0.8385,0.8373,0.8416
2,"ng=[1, 2, 3]_f=128_dr=0.3_gelu",S1,1,3,0.4081,0.8514,0.852,0.8556,0.8502,0.8531
2,"ng=[1, 2, 3]_f=128_dr=0.3_gelu",S1,2,2,0.3786,0.8561,0.8522,0.8561,0.8534,0.8565
2,"ng=[1, 2, 3]_f=128_dr=0.3_gelu",S1,3,3,0.3725,0.8542,0.8528,0.8523,0.8509,0.8552
2,"ng=[1, 2, 3]_f=128_dr=0.3_gelu",S1,4,2,0.4135,0.8267,0.8245,0.8283,0.8248,0.828
2,"ng=[1, 2, 3]_f=128_dr=0.3_gelu",S1,5,2,0.4086,0.8522,0.8486,0.852,0.8489,0.8528
3,"ng=[1, 2, 3]_f=128_dr=0.3_elu",S1,1,2,0.3921,0.8504,0.8538,0.8555,0.8498,0.8527
3,"ng=[1, 2, 3]_f=128_dr=0.3_elu",S1,2,2,0.3984,0.8532,0.8572,0.8605,0.8527,0.8548
3,"ng=[1, 2, 3]_f=128_dr=0.3_elu",S1,3,2,0.3603,0.8627,0.8613,0.8634,0.8604,0.8643
3,"ng=[1, 2, 3]_f=128_dr=0.3_elu",S1,4,2,0.4216,0.8249,0.8203,0.8223,0.8207,0.8244
3,"ng=[1, 2, 3]_f=128_dr=0.3_elu",S1,5,2,0.4752,0.8173,0.817,0.8128,0.8132,0.8178
4,"ng=[1, 2, 3]_f=128_dr=0.5_relu",S1,1,3,0.387,0.8438,0.8436,0.8464,0.8421,0.8459
4,"ng=[1, 2, 3]_f=128_dr=0.5_relu",S1,2,3,0.375,0.8702,0.8662,0.8693,0.8669,0.8702
4,"ng=[1, 2, 3]_f=128_dr=0.5_relu",S1,3,2,0.346,0.8702,0.867,0.8709,0.8677,0.8713
4,"ng=[1, 2, 3]_f=128_dr=0.5_relu",S1,4,2,0.4296,0.8315,0.8279,0.8283,0.8265,0.8302
4,"ng=[1, 2, 3]_f=128_dr=0.5_relu",S1,5,2,0.4445,0.8333,0.8362,0.8362,0.8316,0.8358
5,"ng=[1, 2, 3]_f=128_dr=0.5_gelu",S1,1,2,0.3965,0.8504,0.8452,0.8472,0.846,0.8504
5,"ng=[1, 2, 3]_f=128_dr=0.5_gelu",S1,2,2,0.3688,0.8627,0.8595,0.8633,0.8595,0.8628
5,"ng=[1, 2, 3]_f=128_dr=0.5_gelu",S1,3,2,0.3523,0.8683,0.8646,0.8681,0.8654,0.8694
5,"ng=[1, 2, 3]_f=128_dr=0.5_gelu",S1,4,2,0.4089,0.8296,0.8256,0.8288,0.8259,0.8294
5,"ng=[1, 2, 3]_f=128_dr=0.5_gelu",S1,5,2,0.4355,0.8399,0.8347,0.8368,0.8355,0.8405
6,"ng=[1, 2, 3]_f=128_dr=0.5_elu",S1,1,2,0.4203,0.8354,0.8409,0.8376,0.8342,0.838
6,"ng=[1, 2, 3]_f=128_dr=0.5_elu",S1,2,3,0.3772,0.8627,0.8595,0.8646,0.8604,0.8632
6,"ng=[1, 2, 3]_f=128_dr=0.5_elu",S1,3,2,0.3644,0.8674,0.8641,0.865,0.8642,0.868
