combo_id,combo_label,condition,fold,epoch,train_loss,val_loss,val_accuracy,val_precision,val_recall,val_f1_macro,val_f1_weighted,is_best_epoch
101,"ng=[2, 3, 4]_f=128_dr=0.3_relu",S1,1,1,0.7369,0.4194,0.825,0.82,0.822,0.8208,0.8255,False
101,"ng=[2, 3, 4]_f=128_dr=0.3_relu",S1,1,2,0.4028,0.402,0.8467,0.8423,0.8418,0.8395,0.8444,False
101,"ng=[2, 3, 4]_f=128_dr=0.3_relu",S1,1,3,0.2856,0.4007,0.8532,0.8513,0.8561,0.8516,0.8543,True
101,"ng=[2, 3, 4]_f=128_dr=0.3_relu",S1,1,4,0.1905,0.4806,0.8579,0.855,0.8598,0.8558,0.8588,False
101,"ng=[2, 3, 4]_f=128_dr=0.3_relu",S1,1,5,0.1205,0.5367,0.8504,0.8475,0.8492,0.8478,0.8513,False
101,"ng=[2, 3, 4]_f=128_dr=0.3_relu",S1,1,6,0.0707,0.7078,0.8551,0.8528,0.8494,0.8485,0.8529,False
101,"ng=[2, 3, 4]_f=128_dr=0.3_relu",S1,2,1,0.759,0.4377,0.8429,0.8456,0.848,0.8424,0.8449,False
101,"ng=[2, 3, 4]_f=128_dr=0.3_relu",S1,2,2,0.4073,0.3609,0.857,0.8559,0.8604,0.855,0.8583,True
101,"ng=[2, 3, 4]_f=128_dr=0.3_relu",S1,2,3,0.2774,0.4243,0.8438,0.8484,0.8472,0.8428,0.8466,False
101,"ng=[2, 3, 4]_f=128_dr=0.3_relu",S1,2,4,0.1911,0.4331,0.8589,0.8581,0.8622,0.8571,0.8605,False
101,"ng=[2, 3, 4]_f=128_dr=0.3_relu",S1,2,5,0.1158,0.5402,0.8495,0.8467,0.8486,0.8467,0.8508,False
101,"ng=[2, 3, 4]_f=128_dr=0.3_relu",S1,3,1,0.7338,0.4672,0.8147,0.8297,0.8227,0.8156,0.8188,False
101,"ng=[2, 3, 4]_f=128_dr=0.3_relu",S1,3,2,0.3994,0.3755,0.8532,0.8571,0.8566,0.8523,0.8556,True
101,"ng=[2, 3, 4]_f=128_dr=0.3_relu",S1,3,3,0.2767,0.378,0.8589,0.854,0.8546,0.8542,0.8589,False
101,"ng=[2, 3, 4]_f=128_dr=0.3_relu",S1,3,4,0.1746,0.4581,0.8561,0.8559,0.8573,0.854,0.858,False
101,"ng=[2, 3, 4]_f=128_dr=0.3_relu",S1,3,5,0.1042,0.5756,0.8627,0.8613,0.8548,0.8567,0.8611,False
101,"ng=[2, 3, 4]_f=128_dr=0.3_relu",S1,4,1,0.7355,0.4523,0.8154,0.8129,0.8093,0.8097,0.8138,False
101,"ng=[2, 3, 4]_f=128_dr=0.3_relu",S1,4,2,0.3824,0.4256,0.8202,0.8235,0.8253,0.8195,0.8221,True
101,"ng=[2, 3, 4]_f=128_dr=0.3_relu",S1,4,3,0.2581,0.4717,0.8267,0.8223,0.8255,0.8233,0.8266,False
101,"ng=[2, 3, 4]_f=128_dr=0.3_relu",S1,4,4,0.1683,0.5879,0.8267,0.824,0.82,0.8213,0.8256,False
101,"ng=[2, 3, 4]_f=128_dr=0.3_relu",S1,4,5,0.1064,0.7119,0.8164,0.8137,0.8115,0.8124,0.8164,False
101,"ng=[2, 3, 4]_f=128_dr=0.3_relu",S1,5,1,0.759,0.5055,0.7994,0.808,0.8057,0.7994,0.8022,False
101,"ng=[2, 3, 4]_f=128_dr=0.3_relu",S1,5,2,0.3942,0.4287,0.8371,0.8378,0.8383,0.8352,0.8391,True
101,"ng=[2, 3, 4]_f=128_dr=0.3_relu",S1,5,3,0.2654,0.4996,0.8333,0.8291,0.8312,0.8296,0.8343,False
101,"ng=[2, 3, 4]_f=128_dr=0.3_relu",S1,5,4,0.174,0.6464,0.8098,0.8097,0.8058,0.8052,0.8107,False
101,"ng=[2, 3, 4]_f=128_dr=0.3_relu",S1,5,5,0.0989,0.7073,0.8286,0.8243,0.8234,0.8238,0.8286,False
