combo_id,combo_label,condition,fold,best_epoch,best_val_loss,val_accuracy,val_precision,val_recall,val_f1_macro,val_f1_weighted
101,"ng=[2, 3, 4]_f=128_dr=0.3_relu",S1,1,3,0.4007,0.8532,0.8513,0.8561,0.8516,0.8543
101,"ng=[2, 3, 4]_f=128_dr=0.3_relu",S1,2,2,0.3609,0.857,0.8559,0.8604,0.855,0.8583
101,"ng=[2, 3, 4]_f=128_dr=0.3_relu",S1,3,2,0.3755,0.8532,0.8571,0.8566,0.8523,0.8556
101,"ng=[2, 3, 4]_f=128_dr=0.3_relu",S1,4,2,0.4256,0.8202,0.8235,0.8253,0.8195,0.8221
101,"ng=[2, 3, 4]_f=128_dr=0.3_relu",S1,5,2,0.4287,0.8371,0.8378,0.8383,0.8352,0.8391
102,"ng=[2, 3, 4]_f=128_dr=0.3_gelu",S1,1,3,0.3903,0.8532,0.852,0.8546,0.8518,0.8546
102,"ng=[2, 3, 4]_f=128_dr=0.3_gelu",S1,2,2,0.3748,0.8532,0.853,0.8573,0.8522,0.8546
102,"ng=[2, 3, 4]_f=128_dr=0.3_gelu",S1,3,2,0.3641,0.8551,0.8594,0.8604,0.8544,0.8576
102,"ng=[2, 3, 4]_f=128_dr=0.3_gelu",S1,4,2,0.409,0.8286,0.826,0.8301,0.8268,0.8295
102,"ng=[2, 3, 4]_f=128_dr=0.3_gelu",S1,5,2,0.4305,0.8362,0.8319,0.8333,0.8324,0.8366
103,"ng=[2, 3, 4]_f=128_dr=0.3_elu",S1,1,2,0.4219,0.8401,0.839,0.8404,0.8387,0.8411
103,"ng=[2, 3, 4]_f=128_dr=0.3_elu",S1,2,2,0.3706,0.8598,0.8596,0.8625,0.8584,0.8615
103,"ng=[2, 3, 4]_f=128_dr=0.3_elu",S1,3,2,0.3699,0.857,0.8552,0.858,0.8548,0.8585
103,"ng=[2, 3, 4]_f=128_dr=0.3_elu",S1,4,2,0.4141,0.8333,0.8293,0.8317,0.8302,0.8339
103,"ng=[2, 3, 4]_f=128_dr=0.3_elu",S1,5,1,0.4529,0.8249,0.8234,0.8271,0.8228,0.8264
104,"ng=[2, 3, 4]_f=128_dr=0.5_relu",S1,1,3,0.4183,0.8391,0.8369,0.8408,0.8369,0.8405
104,"ng=[2, 3, 4]_f=128_dr=0.5_relu",S1,2,3,0.4064,0.8532,0.85,0.848,0.8487,0.8524
104,"ng=[2, 3, 4]_f=128_dr=0.5_relu",S1,3,3,0.3759,0.873,0.8711,0.876,0.871,0.8741
104,"ng=[2, 3, 4]_f=128_dr=0.5_relu",S1,4,2,0.399,0.8315,0.8294,0.8347,0.8301,0.8321
104,"ng=[2, 3, 4]_f=128_dr=0.5_relu",S1,5,1,0.4766,0.8164,0.8131,0.8162,0.8127,0.8166
105,"ng=[2, 3, 4]_f=128_dr=0.5_gelu",S1,1,2,0.3849,0.842,0.8415,0.8449,0.8406,0.8437
105,"ng=[2, 3, 4]_f=128_dr=0.5_gelu",S1,2,2,0.3635,0.8542,0.8515,0.8548,0.852,0.8553
105,"ng=[2, 3, 4]_f=128_dr=0.5_gelu",S1,3,2,0.3662,0.8561,0.8543,0.8564,0.8538,0.8576
105,"ng=[2, 3, 4]_f=128_dr=0.5_gelu",S1,4,2,0.4544,0.8192,0.8204,0.8109,0.8139,0.8176
105,"ng=[2, 3, 4]_f=128_dr=0.5_gelu",S1,5,2,0.4533,0.8286,0.826,0.8228,0.8238,0.8288
106,"ng=[2, 3, 4]_f=128_dr=0.5_elu",S1,1,2,0.398,0.8429,0.8425,0.8467,0.8409,0.8442
106,"ng=[2, 3, 4]_f=128_dr=0.5_elu",S1,2,3,0.3892,0.8636,0.8607,0.8651,0.8615,0.8646
106,"ng=[2, 3, 4]_f=128_dr=0.5_elu",S1,3,2,0.3671,0.8561,0.8515,0.8549,0.8526,0.8566
106,"ng=[2, 3, 4]_f=128_dr=0.5_elu",S1,4,2,0.4321,0.8277,0.8273,0.8204,0.8209,0.8249
106,"ng=[2, 3, 4]_f=128_dr=0.5_elu",S1,5,2,0.439,0.8333,0.8288,0.8286,0.8286,0.8331
107,"ng=[2, 3, 4]_f=256_dr=0.3_relu",S1,1,2,0.3794,0.8551,0.8505,0.8537,0.8516,0.8558
107,"ng=[2, 3, 4]_f=256_dr=0.3_relu",S1,2,2,0.3899,0.8523,0.8491,0.8482,0.8486,0.852
107,"ng=[2, 3, 4]_f=256_dr=0.3_relu",S1,3,3,0.3877,0.8561,0.8536,0.8503,0.8507,0.8548
107,"ng=[2, 3, 4]_f=256_dr=0.3_relu",S1,4,2,0.4478,0.8277,0.8247,0.8231,0.8238,0.8273
107,"ng=[2, 3, 4]_f=256_dr=0.3_relu",S1,5,2,0.4487,0.8324,0.8301,0.8313,0.8292,0.8336
108,"ng=[2, 3, 4]_f=256_dr=0.3_gelu",S1,1,2,0.403,0.8542,0.852,0.8487,0.848,0.8517
108,"ng=[2, 3, 4]_f=256_dr=0.3_gelu",S1,2,2,0.352,0.8655,0.8613,0.8631,0.862,0.8652
108,"ng=[2, 3, 4]_f=256_dr=0.3_gelu",S1,3,2,0.3477,0.8664,0.8641,0.8666,0.864,0.8677
108,"ng=[2, 3, 4]_f=256_dr=0.3_gelu",S1,4,2,0.4218,0.8296,0.8308,0.8323,0.8286,0.8313
108,"ng=[2, 3, 4]_f=256_dr=0.3_gelu",S1,5,2,0.4628,0.8173,0.8144,0.8081,0.8098,0.8152
