combo_id,batch,ngram,filter_size,dropout,activation,f1_macro,f1_macro_std,f1_weighted,accuracy,precision,recall
12,A,"[1, 2, 3]",256,0.5,elu,0.849,0.0127,0.8527,0.8524,0.849,0.8522
10,A,"[1, 2, 3]",256,0.5,relu,0.8488,0.0119,0.8522,0.8515,0.8494,0.8523
4,A,"[1, 2, 3]",128,0.5,relu,0.847,0.0174,0.8507,0.8498,0.8482,0.8502
5,A,"[1, 2, 3]",128,0.5,gelu,0.8465,0.0146,0.8505,0.8502,0.8459,0.8488
11,A,"[1, 2, 3]",256,0.5,gelu,0.8462,0.014,0.8497,0.8491,0.8458,0.8483
2,A,"[1, 2, 3]",128,0.3,gelu,0.8456,0.0105,0.8491,0.8481,0.846,0.8489
1,A,"[1, 2, 3]",128,0.3,relu,0.8451,0.0104,0.8485,0.8485,0.8451,0.8477
6,A,"[1, 2, 3]",128,0.5,elu,0.845,0.0155,0.8486,0.8476,0.8457,0.8475
109,B,"[2, 3, 4]",256,0.3,elu,0.8449,0.0128,0.8482,0.8473,0.846,0.8488
9,A,"[1, 2, 3]",256,0.3,elu,0.8447,0.0137,0.8482,0.8472,0.8451,0.8481
