combo_id,combo_label,condition,fold,best_epoch,best_val_loss,val_accuracy,val_precision,val_recall,val_f1_macro,val_f1_weighted
S1,best_S1,S1,1,2,0.3844,0.8514,0.8475,0.8521,0.8484,0.8519
S1,best_S1,S1,2,2,0.3826,0.8467,0.8462,0.8487,0.845,0.8485
S1,best_S1,S1,3,3,0.3689,0.8608,0.8581,0.8612,0.8582,0.8622
S1,best_S1,S1,4,2,0.4306,0.8277,0.8259,0.8212,0.8221,0.8259
S1,best_S1,S1,5,2,0.4837,0.8249,0.83,0.8273,0.8235,0.8273
S2,best_S2,S2,1,2,0.4112,0.8467,0.8428,0.8475,0.8439,0.847
S2,best_S2,S2,2,3,0.3801,0.8645,0.8609,0.8629,0.8617,0.865
S2,best_S2,S2,3,2,0.3538,0.8692,0.8649,0.8665,0.8656,0.8695
S2,best_S2,S2,4,2,0.4269,0.8277,0.8246,0.8282,0.8258,0.8282
S2,best_S2,S2,5,2,0.4469,0.8352,0.8353,0.8385,0.8337,0.8371
