fold,epoch,train_loss,val_loss,train_f1,val_accuracy,val_precision,val_recall,val_f1_macro,val_f1_weighted,is_best_epoch
1,1,0.7201,0.4353,0.6908,0.826,0.8203,0.8233,0.8208,0.8256,False
1,2,0.3863,0.4071,0.8528,0.8391,0.8334,0.835,0.8334,0.8381,False
1,3,0.2602,0.4032,0.9051,0.8608,0.8582,0.8635,0.8587,0.8615,True
1,4,0.1652,0.4799,0.945,0.8551,0.8505,0.8536,0.8512,0.8548,False
1,5,0.0974,0.5902,0.9711,0.8589,0.8554,0.8596,0.8566,0.8596,False
1,6,0.0584,0.6903,0.983,0.8495,0.8455,0.8488,0.8467,0.85,False
2,1,0.7214,0.4297,0.6762,0.826,0.8263,0.8177,0.8199,0.8237,False
2,2,0.4108,0.3698,0.8424,0.8598,0.8583,0.8635,0.8587,0.8607,True
2,3,0.275,0.3842,0.9028,0.8532,0.8485,0.8515,0.8494,0.8532,False
2,4,0.166,0.4684,0.9438,0.8485,0.8483,0.8516,0.8468,0.8505,False
2,5,0.0913,0.5555,0.9692,0.8457,0.8458,0.8499,0.8444,0.8473,False
3,1,0.7514,0.4205,0.6571,0.841,0.8394,0.8423,0.8389,0.8425,False
3,2,0.3978,0.3979,0.8461,0.8504,0.8575,0.8545,0.8495,0.8532,False
3,3,0.2606,0.3629,0.9018,0.8617,0.8568,0.8574,0.8571,0.8617,True
3,4,0.1606,0.4615,0.9474,0.8655,0.8644,0.8671,0.8634,0.8674,False
3,5,0.0892,0.4593,0.9709,0.8692,0.8645,0.8678,0.8653,0.8694,False
3,6,0.0497,0.542,0.9841,0.8589,0.8541,0.8557,0.8541,0.8583,False
4,1,0.7143,0.4413,0.6903,0.8164,0.8123,0.8145,0.8121,0.8158,False
4,2,0.379,0.4263,0.8599,0.8258,0.8214,0.8248,0.8226,0.8261,True
4,3,0.2497,0.4543,0.9112,0.8267,0.8221,0.8233,0.8226,0.8267,False
4,4,0.1504,0.5506,0.9495,0.8277,0.8259,0.8297,0.826,0.829,False
4,5,0.0868,0.6554,0.9717,0.8267,0.8229,0.8242,0.8235,0.8268,False
5,1,0.7206,0.5589,0.6757,0.7834,0.7894,0.7787,0.7789,0.7839,False
5,2,0.3957,0.4519,0.8529,0.8211,0.8193,0.8194,0.8175,0.8222,True
5,3,0.2509,0.5083,0.9117,0.8183,0.8144,0.811,0.8122,0.8179,False
5,4,0.1564,0.5506,0.9433,0.8305,0.8265,0.8283,0.827,0.8313,False
5,5,0.0899,0.6821,0.9708,0.8136,0.8123,0.805,0.8076,0.8123,False
